step,epoch,loss_jepa,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.487139,0.487139,2.92e-07,1.5988,0.04,
1,0,0.493878,0.493878,5.85e-07,1.7354,0.05,
2,0,0.496806,0.496806,8.77e-07,2.1200,0.07,
3,0,0.486055,0.486055,1.17e-06,1.2567,0.06,
4,0,0.498643,0.498643,1.46e-06,1.9401,0.07,
5,0,0.500088,0.500088,1.75e-06,3.1252,0.07,
6,0,0.504296,0.504296,2.05e-06,2.9918,0.07,
7,0,0.497256,0.497256,2.34e-06,1.9490,0.06,
8,0,0.501556,0.501556,2.63e-06,2.1068,0.07,
9,0,0.498542,0.498542,2.92e-06,1.5536,0.07,
10,0,0.491452,0.491452,3.22e-06,0.6948,0.07,
11,0,0.496341,0.496341,3.51e-06,1.2263,0.07,
12,0,0.490394,0.490394,3.80e-06,0.7121,0.06,
13,0,0.493967,0.493967,4.09e-06,0.4938,0.06,
14,0,0.501058,0.501058,4.39e-06,0.5053,0.06,
14,0,,,,,,0.490004
15,0,0.486672,0.486672,4.68e-06,0.4743,0.00,
16,0,0.492324,0.492324,4.97e-06,0.9691,0.08,
17,0,0.492017,0.492017,5.26e-06,0.4063,0.08,
18,0,0.492523,0.492523,5.56e-06,0.5312,0.08,
19,0,0.487681,0.487681,5.85e-06,0.5382,0.08,
20,0,0.491282,0.491282,6.14e-06,0.3502,0.08,
21,0,0.488866,0.488866,6.43e-06,0.3902,0.08,
22,0,0.494782,0.494782,6.73e-06,0.6558,0.08,
23,0,0.484897,0.484897,7.02e-06,0.3754,0.08,
24,0,0.487594,0.487594,7.31e-06,0.2912,0.08,
25,0,0.483177,0.483177,7.60e-06,0.3372,0.08,
26,0,0.485101,0.485101,7.89e-06,0.5105,0.08,
27,0,0.490775,0.490775,8.19e-06,0.2409,0.08,
28,0,0.491696,0.491696,8.48e-06,0.8012,0.08,
29,0,0.494934,0.494934,8.77e-06,0.2975,0.08,
29,0,,,,,,0.489410
30,0,0.487845,0.487845,9.06e-06,0.1691,0.01,
31,0,0.485153,0.485153,9.36e-06,0.3415,0.09,
32,0,0.484274,0.484274,9.65e-06,0.2560,0.08,
33,0,0.491081,0.491081,9.94e-06,0.3729,0.08,
34,0,0.489637,0.489637,1.02e-05,0.2521,0.08,
35,0,0.482169,0.482169,1.05e-05,0.2271,0.08,
36,0,0.482469,0.482469,1.08e-05,0.2523,0.08,
37,0,0.489328,0.489328,1.11e-05,0.2247,0.08,
38,0,0.486091,0.486091,1.14e-05,0.3017,0.08,
39,0,0.483525,0.483525,1.17e-05,0.2214,0.08,
40,0,0.490281,0.490281,1.20e-05,0.2501,0.08,
41,0,0.474098,0.474098,1.23e-05,0.2624,0.08,
42,0,0.487509,0.487509,1.26e-05,0.4303,0.08,
43,0,0.483329,0.483329,1.29e-05,0.3323,0.08,
44,0,0.486521,0.486521,1.32e-05,0.2814,0.08,
44,0,,,,,,0.482452
45,0,0.487781,0.487781,1.35e-05,0.2844,0.01,
46,0,0.485986,0.485986,1.37e-05,0.2853,0.08,
47,0,0.479623,0.479623,1.40e-05,0.2007,0.08,
48,0,0.474831,0.474831,1.43e-05,0.3277,0.08,
49,0,0.485024,0.485024,1.46e-05,0.1998,0.10,
50,0,0.484516,0.484516,1.49e-05,2.4630,0.08,
51,0,0.478211,0.478211,1.52e-05,0.3204,0.08,
52,0,0.483402,0.483402,1.55e-05,1.1248,0.08,
53,0,0.480937,0.480937,1.58e-05,0.2232,0.08,
54,0,0.475760,0.475760,1.61e-05,0.1596,0.08,
55,0,0.482078,0.482078,1.64e-05,0.4694,0.08,
56,0,0.486133,0.486133,1.67e-05,0.1592,0.08,
57,0,0.483334,0.483334,1.70e-05,0.2744,0.08,
58,0,0.477924,0.477924,1.73e-05,0.4293,0.08,
59,0,0.476242,0.476242,1.75e-05,0.2150,0.08,
59,0,,,,,,0.480454
60,0,0.474985,0.474985,1.78e-05,0.2006,0.01,
61,0,0.477666,0.477666,1.81e-05,0.2158,0.09,
62,0,0.474289,0.474289,1.84e-05,0.1819,0.08,
63,0,0.476497,0.476497,1.87e-05,0.1912,0.08,
64,0,0.482045,0.482045,1.90e-05,0.2679,0.08,
65,0,0.488004,0.488004,1.93e-05,0.2132,0.08,
66,0,0.476483,0.476483,1.96e-05,0.3376,0.08,
67,0,0.481004,0.481004,1.99e-05,0.2311,0.08,
68,0,0.489834,0.489834,2.02e-05,0.1843,0.08,
69,0,0.480998,0.480998,2.05e-05,0.1973,0.08,
70,0,0.472609,0.472609,2.08e-05,0.3693,0.08,
71,0,0.470301,0.470301,2.11e-05,0.2443,0.08,
72,0,0.473821,0.473821,2.13e-05,0.2257,0.08,
73,0,0.484481,0.484481,2.16e-05,0.1381,0.09,
74,0,0.470584,0.470584,2.19e-05,0.2236,0.08,
74,0,,,,,,0.474555
75,0,0.478640,0.478640,2.22e-05,0.1442,0.01,
76,1,0.468389,0.468389,2.25e-05,0.1695,0.11,
77,1,0.483774,0.483774,2.28e-05,0.1563,0.10,
78,1,0.482062,0.482062,2.31e-05,0.1970,0.09,
79,1,0.483691,0.483691,2.34e-05,0.3078,0.09,
80,1,0.480285,0.480285,2.37e-05,0.1629,0.08,
81,1,0.482792,0.482792,2.40e-05,0.3241,0.08,
82,1,0.484290,0.484290,2.43e-05,0.2209,0.08,
83,1,0.478172,0.478172,2.46e-05,0.2881,0.08,
84,1,0.476012,0.476012,2.49e-05,0.1659,0.08,
85,1,0.482469,0.482469,2.51e-05,0.2068,0.09,
86,1,0.475073,0.475073,2.54e-05,0.1331,0.09,
87,1,0.476100,0.476100,2.57e-05,0.1899,0.08,
88,1,0.470431,0.470431,2.60e-05,0.1966,0.07,
89,1,0.474532,0.474532,2.63e-05,0.1400,0.08,
89,1,,,,,,0.474578
90,1,0.481819,0.481819,2.66e-05,0.2812,0.01,
91,1,0.465667,0.465667,2.69e-05,0.1398,0.08,
92,1,0.480880,0.480880,2.72e-05,0.2108,0.08,
93,1,0.480516,0.480516,2.75e-05,0.3403,0.08,
94,1,0.471613,0.471613,2.78e-05,0.1593,0.07,
95,1,0.478889,0.478889,2.81e-05,0.2173,0.08,
96,1,0.473912,0.473912,2.84e-05,0.1053,0.08,
97,1,0.476507,0.476507,2.87e-05,0.1977,0.08,
98,1,0.477335,0.477335,2.89e-05,0.1345,0.08,
99,1,0.470280,0.470280,2.92e-05,0.1842,0.08,
100,1,0.475016,0.475016,2.95e-05,0.1383,0.08,
101,1,0.471401,0.471401,2.98e-05,0.1932,0.08,
102,1,0.470258,0.470258,3.01e-05,0.1134,0.08,
103,1,0.479506,0.479506,3.04e-05,0.1274,0.08,
104,1,0.458183,0.458183,3.07e-05,0.2652,0.08,
104,1,,,,,,0.472849
105,1,0.471168,0.471168,3.10e-05,0.2172,0.01,
106,1,0.477170,0.477170,3.13e-05,0.1210,0.09,
107,1,0.473921,0.473921,3.16e-05,0.1124,0.08,
108,1,0.473106,0.473106,3.19e-05,0.2214,0.08,
109,1,0.480686,0.480686,3.22e-05,0.2217,0.09,
110,1,0.471844,0.471844,3.25e-05,0.1193,0.09,
111,1,0.472517,0.472517,3.27e-05,0.1148,0.08,
112,1,0.471090,0.471090,3.30e-05,0.1777,0.08,
113,1,0.478617,0.478617,3.33e-05,0.1394,0.08,
114,1,0.476429,0.476429,3.36e-05,0.1888,0.08,
115,1,0.469511,0.469511,3.39e-05,0.0978,0.08,
116,1,0.478128,0.478128,3.42e-05,0.1628,0.08,
117,1,0.466666,0.466666,3.45e-05,0.3062,0.08,
118,1,0.478653,0.478653,3.48e-05,0.1405,0.09,
119,1,0.476090,0.476090,3.51e-05,0.0715,0.09,
119,1,,,,,,0.470830
120,1,0.467253,0.467253,3.54e-05,0.1309,0.01,
121,1,0.475642,0.475642,3.57e-05,0.2050,0.09,
122,1,0.475599,0.475599,3.60e-05,0.0985,0.09,
123,1,0.462454,0.462454,3.63e-05,0.1693,0.08,
124,1,0.464079,0.464079,3.65e-05,0.1255,0.08,
125,1,0.464029,0.464029,3.68e-05,0.1704,0.08,
126,1,0.473180,0.473180,3.71e-05,0.1325,0.08,
