step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
0,stage1_layout,0.493920,0.362316,0.263207,1.10e-06,1.9336
1,stage1_layout,0.493223,0.361986,0.262474,1.65e-06,2.1555
2,stage1_layout,0.494853,0.363256,0.263194,2.20e-06,1.8357
3,stage1_layout,0.486534,0.356758,0.259551,2.75e-06,1.9297
4,stage1_layout,0.494938,0.363115,0.263646,3.30e-06,1.1623
5,stage1_layout,0.491774,0.358249,0.267050,3.85e-06,3.5240
6,stage1_layout,0.497100,0.363966,0.266268,4.40e-06,2.7743
7,stage1_layout,0.493318,0.361444,0.263748,4.95e-06,0.8515
8,stage1_layout,0.495577,0.362701,0.265753,5.49e-06,1.3727
9,stage1_layout,0.491510,0.359329,0.264362,6.04e-06,0.8352
10,stage1_layout,0.490732,0.360124,0.261216,6.59e-06,0.4328
11,stage1_layout,0.494619,0.361490,0.266260,7.14e-06,0.8296
12,stage1_layout,0.489350,0.358158,0.262384,7.69e-06,0.2799
13,stage1_layout,0.491345,0.359919,0.262851,8.24e-06,0.3565
14,stage1_layout,0.490021,0.358476,0.263089,8.79e-06,0.4085
15,stage1_layout,0.482724,0.353690,0.258068,9.34e-06,0.2543
16,stage1_layout,0.489233,0.356726,0.265014,9.89e-06,0.5750
17,stage1_layout,0.484737,0.355359,0.258756,1.04e-05,0.4504
18,stage1_layout,0.488030,0.357738,0.260584,1.10e-05,0.3956
19,stage1_layout,0.486199,0.356493,0.259412,1.15e-05,0.3304
20,stage1_layout,0.480649,0.352170,0.256959,1.21e-05,0.2615
21,stage1_layout,0.488742,0.358451,0.260582,1.26e-05,0.2462
22,stage1_layout,0.483382,0.352772,0.261221,1.32e-05,0.4790
23,stage1_layout,0.487324,0.355626,0.263396,1.37e-05,0.2759
24,stage1_layout,0.483894,0.354474,0.258840,1.43e-05,0.3165
25,stage1_layout,0.475382,0.347582,0.255600,1.48e-05,0.1775
26,stage1_layout,0.489327,0.358386,0.261882,1.54e-05,0.3015
27,stage1_layout,0.472780,0.346119,0.253323,1.59e-05,0.3013
28,stage1_layout,0.483614,0.353963,0.259303,1.65e-05,0.2744
29,stage1_layout,0.474369,0.347107,0.254525,1.70e-05,0.2263
30,stage1_layout,0.481286,0.353399,0.255774,1.76e-05,0.2320
31,stage1_layout,0.474780,0.348420,0.252721,1.81e-05,0.2585
32,stage1_layout,0.476463,0.347712,0.257502,1.87e-05,0.1808
33,stage1_layout,0.480118,0.352298,0.255641,1.92e-05,0.1717
34,stage1_layout,0.484386,0.354524,0.259724,1.98e-05,0.3010
35,stage1_layout,0.471657,0.345410,0.252494,2.03e-05,0.1980
36,stage1_layout,0.472738,0.346015,0.253445,2.09e-05,0.1541
