step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
0,stage1_layout,0.496371,0.364802,0.263137,5.26e-07,1.8650
1,stage1_layout,0.491086,0.360465,0.261243,7.89e-07,2.0213
2,stage1_layout,0.493333,0.361682,0.263302,1.05e-06,1.6821
3,stage1_layout,0.489314,0.359616,0.259396,1.32e-06,1.3469
4,stage1_layout,0.498557,0.366472,0.264169,1.58e-06,1.4188
5,stage1_layout,0.501864,0.366444,0.270839,1.84e-06,4.2461
6,stage1_layout,0.497576,0.364758,0.265636,2.11e-06,3.3092
7,stage1_layout,0.490250,0.359898,0.260704,2.37e-06,1.3310
8,stage1_layout,0.493912,0.359718,0.268388,2.63e-06,2.2548
9,stage1_layout,0.492206,0.361449,0.261513,2.89e-06,1.0692
10,stage1_layout,0.491343,0.360254,0.262178,3.16e-06,0.9666
11,stage1_layout,0.499524,0.365966,0.267115,3.42e-06,0.9512
12,stage1_layout,0.490916,0.360092,0.261648,3.68e-06,0.7438
13,stage1_layout,0.490760,0.358570,0.264380,3.95e-06,0.5599
14,stage1_layout,0.491848,0.360631,0.262434,4.21e-06,0.5770
15,stage1_layout,0.485431,0.355858,0.259146,4.47e-06,0.4332
16,stage1_layout,0.495739,0.362020,0.267437,4.74e-06,0.6045
17,stage1_layout,0.485062,0.355627,0.258872,5.00e-06,0.4516
18,stage1_layout,0.488689,0.357072,0.263232,5.26e-06,0.2564
19,stage1_layout,0.488048,0.358309,0.259479,5.53e-06,0.3688
20,stage1_layout,0.483078,0.354336,0.257483,5.79e-06,0.3774
21,stage1_layout,0.493087,0.360361,0.265453,6.05e-06,0.6747
22,stage1_layout,0.487471,0.356084,0.262775,6.32e-06,0.5499
23,stage1_layout,0.493095,0.359914,0.266362,6.58e-06,0.4859
24,stage1_layout,0.485318,0.351314,0.268008,6.84e-06,0.9156
25,stage1_layout,0.479181,0.350648,0.257065,7.11e-06,0.5950
26,stage1_layout,0.490339,0.358206,0.264265,7.37e-06,0.2016
27,stage1_layout,0.481919,0.353633,0.256572,7.63e-06,0.2542
28,stage1_layout,0.488569,0.358202,0.260733,7.89e-06,0.2875
29,stage1_layout,0.472936,0.344962,0.255948,8.16e-06,0.3275
30,stage1_layout,0.487973,0.358179,0.259587,8.42e-06,0.3813
31,stage1_layout,0.480352,0.352367,0.255968,8.68e-06,0.2903
32,stage1_layout,0.479752,0.350593,0.258318,8.95e-06,0.2033
33,stage1_layout,0.486145,0.354911,0.262467,9.21e-06,0.3051
34,stage1_layout,0.480039,0.349126,0.261826,9.47e-06,0.6096
35,stage1_layout,0.476639,0.348871,0.255536,9.74e-06,0.2654
36,stage1_layout,0.482851,0.352106,0.261492,1.00e-05,0.2682
37,stage1_layout,0.482185,0.353301,0.257769,1.00e-05,0.2914
38,stage1_layout,0.486273,0.356745,0.259054,1.00e-05,0.1967
39,stage1_layout,0.489027,0.357500,0.263054,1.00e-05,0.6241
40,stage1_layout,0.479400,0.351417,0.255966,1.00e-05,0.1884
41,stage1_layout,0.484759,0.354964,0.259591,1.00e-05,0.2822
42,stage1_layout,0.475624,0.348254,0.254740,1.00e-05,0.2685
43,stage1_layout,0.481846,0.354071,0.255549,1.00e-05,0.2449
44,stage1_layout,0.473395,0.346506,0.253779,1.00e-05,0.2390
45,stage1_layout,0.475541,0.346248,0.258586,1.00e-05,0.3243
46,stage1_layout,0.471525,0.345450,0.252151,1.00e-05,0.2457
47,stage1_layout,0.482759,0.352578,0.260362,1.00e-05,0.3745
48,stage1_layout,0.483853,0.354794,0.258117,1.00e-05,0.2030
49,stage1_layout,0.486007,0.356339,0.259336,1.00e-05,0.3111
