step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage1_layout,0.492962,0.362677,0.260571,2.191528,0.000000,1.000000,1.000000,0.000000,8.77e-07,2.2418
1,stage1_layout,0.494711,0.363361,0.262700,2.144897,0.000000,1.000000,1.000000,0.000000,1.32e-06,2.3007
2,stage1_layout,0.492845,0.362369,0.260950,2.165771,0.000000,1.000001,0.999999,0.000000,1.75e-06,2.3103
3,stage1_layout,0.487040,0.357728,0.258624,2.176514,0.000000,1.000003,0.999997,0.000000,2.19e-06,1.8775
4,stage1_layout,0.498941,0.367298,0.263287,2.250977,0.000000,1.000004,0.999996,0.000000,2.63e-06,2.4971
5,stage1_layout,0.503281,0.368212,0.270139,2.167053,0.000000,1.000007,0.999993,0.000000,3.07e-06,4.2960
6,stage1_layout,0.500163,0.366214,0.267899,2.186432,0.000000,1.000009,0.999991,0.000000,3.51e-06,2.5484
7,stage1_layout,0.498503,0.365295,0.266417,2.071671,0.000000,1.000012,0.999988,0.000000,3.95e-06,1.8738
8,stage1_layout,0.499267,0.365488,0.267556,2.266602,0.000000,1.000016,0.999984,0.000000,4.39e-06,2.5769
9,stage1_layout,0.494518,0.363753,0.261529,2.403320,0.000000,1.000020,0.999980,0.000000,4.82e-06,1.5572
10,stage1_layout,0.492042,0.361219,0.261648,2.269897,0.000000,1.000024,0.999976,0.000000,5.26e-06,1.3943
11,stage1_layout,0.500227,0.367010,0.266434,2.466675,0.000000,1.000029,0.999971,0.000000,5.70e-06,2.3784
12,stage1_layout,0.497329,0.365135,0.264390,2.325470,0.000000,1.000034,0.999966,0.000000,6.14e-06,1.4475
13,stage1_layout,0.494654,0.361365,0.266577,2.223701,0.000000,1.000040,0.999960,0.000000,6.58e-06,1.4371
14,stage1_layout,0.497729,0.365245,0.264969,2.553650,0.000000,1.000046,0.999954,0.000000,7.02e-06,1.6171
15,stage1_layout,0.489626,0.357396,0.264460,2.339783,0.000000,1.000053,0.999947,0.000000,7.46e-06,1.5705
16,stage1_layout,0.501607,0.367308,0.268598,2.687988,0.000000,1.000060,0.999940,0.000000,7.89e-06,1.7286
17,stage1_layout,0.490071,0.359464,0.261214,2.632263,0.000000,1.000067,0.999932,0.000000,8.33e-06,1.4170
18,stage1_layout,0.499652,0.367003,0.265299,2.619873,0.000000,1.000075,0.999924,0.000000,8.77e-06,1.5524
19,stage1_layout,0.496584,0.364821,0.263526,2.579895,0.000000,1.000083,0.999915,0.000000,9.21e-06,1.4926
20,stage1_layout,0.492659,0.361777,0.261765,2.643799,0.000000,1.000092,0.999906,0.000000,9.65e-06,1.4226
21,stage1_layout,0.504895,0.371196,0.267398,2.616699,0.000000,1.000101,0.999896,0.000000,1.01e-05,1.8260
22,stage1_layout,0.504874,0.369912,0.269924,2.682129,0.000000,1.000111,0.999885,0.000000,1.05e-05,1.5035
23,stage1_layout,0.511041,0.373167,0.275747,2.479828,0.000000,1.000121,0.999875,0.000000,1.10e-05,2.1096
24,stage1_layout,0.508023,0.372861,0.270325,2.491089,0.000000,1.000131,0.999863,0.000000,1.14e-05,1.5092
25,stage1_layout,0.496064,0.362370,0.267388,2.380554,0.000000,1.000142,0.999852,0.000000,1.18e-05,1.5452
26,stage1_layout,0.511511,0.374744,0.273533,2.463432,0.000000,1.000154,0.999840,0.000000,1.23e-05,1.6281
27,stage1_layout,0.513770,0.378581,0.270377,2.511963,0.000000,1.000165,0.999827,0.000000,1.27e-05,2.1152
28,stage1_layout,0.519380,0.381841,0.275078,2.243347,0.000000,1.000178,0.999814,0.000000,1.32e-05,2.2739
29,stage1_layout,0.514218,0.378383,0.271670,2.267303,0.000000,1.000190,0.999801,0.000000,1.36e-05,2.6526
30,stage1_layout,0.528461,0.389939,0.277045,2.240234,0.000000,1.000203,0.999787,0.000000,1.40e-05,3.8141
31,stage1_layout,0.528751,0.390261,0.276980,2.161407,0.000000,1.000217,0.999774,0.000000,1.45e-05,2.9418
32,stage1_layout,0.534199,0.395326,0.277745,2.254112,0.000000,1.000231,0.999759,0.000000,1.49e-05,7.6585
33,stage1_layout,0.544702,0.404387,0.280629,2.186249,0.000000,1.000245,0.999745,0.000000,1.54e-05,5.4377
34,stage1_layout,0.555375,0.412076,0.286598,2.104836,0.000000,1.000259,0.999730,0.000000,1.58e-05,4.4497
35,stage1_layout,0.548646,0.408524,0.280245,1.997353,0.000000,1.000274,0.999715,0.000000,1.62e-05,9.1406
36,stage1_layout,0.566681,0.424542,0.284278,2.173096,0.000000,1.000290,0.999700,0.000000,1.67e-05,7.5959
37,stage1_layout,0.571253,0.426123,0.290259,2.312073,0.000000,1.000305,0.999685,0.000000,1.71e-05,6.4113
38,stage1_layout,0.579986,0.435433,0.289106,2.293945,0.000000,1.000321,0.999669,0.000000,1.75e-05,6.0488
39,stage1_layout,0.580591,0.431974,0.297233,2.062210,0.000000,1.000337,0.999653,0.000000,1.80e-05,12.0981
40,stage1_layout,0.573764,0.430016,0.287496,2.090942,0.000000,1.000354,0.999636,0.000000,1.84e-05,4.6103
41,stage1_layout,0.576411,0.429501,0.293820,2.082775,0.000000,1.000371,0.999620,0.000000,1.89e-05,7.5951
42,stage1_layout,0.575921,0.431788,0.288265,2.127319,0.000000,1.000388,0.999603,0.000000,1.93e-05,8.8530
43,stage1_layout,0.579882,0.433475,0.292814,2.048584,0.000000,1.000405,0.999585,0.000000,1.97e-05,5.8300
44,stage1_layout,0.580393,0.431545,0.297697,1.924194,0.000000,1.000423,0.999568,0.000000,2.02e-05,5.8216
