step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage1_layout,0.492461,0.361891,0.261141,2.153778,7.379674,1.000000,1.000000,1.000000,8.77e-07,2.7479
1,stage1_layout,0.493334,0.360950,0.264768,2.044128,7.250328,1.000000,1.000000,1.000000,1.32e-06,2.8999
2,stage1_layout,0.495832,0.364549,0.262565,2.246948,7.338474,1.000001,0.999999,0.999999,1.75e-06,3.3845
3,stage1_layout,0.487859,0.358218,0.259282,2.153809,7.237404,1.000003,0.999997,0.999997,2.19e-06,2.6906
4,stage1_layout,0.497182,0.366230,0.261904,2.416016,7.351622,1.000004,0.999996,0.999996,2.63e-06,2.9077
5,stage1_layout,0.499038,0.366090,0.265897,2.201904,7.334671,1.000007,0.999993,0.999993,3.07e-06,4.5750
6,stage1_layout,0.499027,0.366153,0.265749,2.257629,7.355071,1.000009,0.999991,0.999991,3.51e-06,3.7068
7,stage1_layout,0.489842,0.359603,0.260478,2.197273,7.203304,1.000012,0.999988,0.999988,3.95e-06,2.5925
8,stage1_layout,0.502004,0.367264,0.269480,2.117798,7.370717,1.000016,0.999984,0.999984,4.39e-06,3.4658
9,stage1_layout,0.494260,0.361788,0.264944,2.265327,7.466063,1.000020,0.999980,0.999980,4.82e-06,2.5285
10,stage1_layout,0.493691,0.362311,0.262760,2.257019,7.241123,1.000024,0.999976,0.999976,5.26e-06,2.4754
11,stage1_layout,0.503790,0.369840,0.267900,2.416199,7.282032,1.000029,0.999971,0.999971,5.70e-06,2.6688
12,stage1_layout,0.496765,0.365045,0.263439,2.431702,6.978481,1.000034,0.999966,0.999966,6.14e-06,2.5287
13,stage1_layout,0.495773,0.363568,0.264410,2.370483,7.225907,1.000040,0.999960,0.999960,6.58e-06,2.4070
14,stage1_layout,0.493393,0.360830,0.265127,2.356476,7.170326,1.000046,0.999954,0.999954,7.02e-06,2.2027
15,stage1_layout,0.492243,0.360439,0.263608,2.561478,7.202655,1.000053,0.999947,0.999947,7.46e-06,2.2464
16,stage1_layout,0.500091,0.365521,0.269142,2.636597,6.928419,1.000060,0.999940,0.999940,7.89e-06,2.5455
17,stage1_layout,0.495116,0.364723,0.260786,2.855469,7.252534,1.000067,0.999932,0.999933,8.33e-06,2.4424
18,stage1_layout,0.502859,0.369468,0.266781,2.621765,7.319095,1.000075,0.999924,0.999925,8.77e-06,2.4434
19,stage1_layout,0.502323,0.370716,0.263214,2.882568,7.223439,1.000083,0.999915,0.999917,9.21e-06,2.3788
20,stage1_layout,0.500438,0.369357,0.262161,2.751953,7.167462,1.000092,0.999905,0.999908,9.65e-06,2.4531
21,stage1_layout,0.510702,0.376575,0.268254,2.572998,7.161156,1.000101,0.999895,0.999899,1.01e-05,2.5533
22,stage1_layout,0.509046,0.373806,0.270481,2.551086,6.988140,1.000111,0.999885,0.999889,1.05e-05,2.4547
23,stage1_layout,0.518617,0.381488,0.274258,2.585693,7.111730,1.000121,0.999874,0.999879,1.10e-05,3.3519
24,stage1_layout,0.518450,0.382958,0.270985,2.601929,7.170330,1.000131,0.999863,0.999869,1.14e-05,3.3694
25,stage1_layout,0.511079,0.376843,0.268472,2.528625,6.901660,1.000142,0.999851,0.999858,1.18e-05,3.1825
26,stage1_layout,0.527860,0.390873,0.273974,2.602539,7.124259,1.000154,0.999839,0.999847,1.23e-05,4.1528
27,stage1_layout,0.525996,0.390862,0.270267,2.453094,7.022500,1.000165,0.999826,0.999835,1.27e-05,5.1970
28,stage1_layout,0.531088,0.394034,0.274107,2.519104,6.891068,1.000177,0.999813,0.999823,1.32e-05,4.3440
29,stage1_layout,0.530047,0.394327,0.271439,2.409973,6.588145,1.000190,0.999800,0.999811,1.36e-05,4.5429
30,stage1_layout,0.543118,0.405128,0.275979,2.563721,6.985049,1.000203,0.999786,0.999798,1.40e-05,3.4829
31,stage1_layout,0.548079,0.409838,0.276483,2.408691,6.984695,1.000216,0.999772,0.999784,1.45e-05,4.2160
32,stage1_layout,0.546339,0.406777,0.279123,2.214218,6.662953,1.000230,0.999757,0.999771,1.49e-05,3.7770
33,stage1_layout,0.559755,0.417218,0.285074,2.280579,7.029328,1.000244,0.999742,0.999756,1.54e-05,4.7196
34,stage1_layout,0.570629,0.426473,0.288312,2.464355,6.878792,1.000258,0.999727,0.999742,1.58e-05,4.2417
35,stage1_layout,0.567132,0.426882,0.280499,2.576416,6.674791,1.000273,0.999712,0.999727,1.62e-05,8.7272
36,stage1_layout,0.572904,0.431413,0.282982,2.344849,6.668006,1.000288,0.999695,0.999711,1.67e-05,4.2881
37,stage1_layout,0.575746,0.433128,0.285236,2.437500,6.668519,1.000303,0.999679,0.999696,1.71e-05,4.4998
38,stage1_layout,0.583167,0.439170,0.287993,2.321716,6.873949,1.000319,0.999662,0.999680,1.75e-05,4.7768
39,stage1_layout,0.582258,0.434582,0.295353,2.054779,6.814234,1.000335,0.999645,0.999663,1.80e-05,3.4500
40,stage1_layout,0.587038,0.442910,0.288256,2.311279,6.684557,1.000351,0.999628,0.999646,1.84e-05,5.2574
41,stage1_layout,0.588802,0.438824,0.299957,2.136971,6.731803,1.000368,0.999610,0.999629,1.89e-05,4.0938
42,stage1_layout,0.588958,0.443420,0.291075,2.110596,6.771131,1.000385,0.999592,0.999611,1.93e-05,5.0996
43,stage1_layout,0.598055,0.450517,0.295077,2.267578,6.787753,1.000403,0.999575,0.999593,1.97e-05,4.1636
44,stage1_layout,0.588146,0.442434,0.291424,1.962524,6.591849,1.000420,0.999556,0.999574,2.02e-05,4.7595
45,stage1_layout,0.597960,0.449875,0.296170,2.093933,6.605739,1.000438,0.999538,0.999555,2.06e-05,6.0918
46,stage1_layout,0.590739,0.444874,0.291730,2.145945,6.595551,1.000457,0.999520,0.999536,2.11e-05,4.5324
47,stage1_layout,0.603869,0.453231,0.301276,1.938324,6.660087,1.000475,0.999501,0.999516,2.15e-05,4.3813
48,stage1_layout,0.600764,0.452343,0.296842,2.004395,6.622960,1.000494,0.999482,0.999496,2.19e-05,6.6936
49,stage1_layout,0.609821,0.459902,0.299837,2.218018,6.755453,1.000514,0.999464,0.999475,2.24e-05,4.2180
50,stage1_layout,0.602695,0.454703,0.295983,2.071167,6.695320,1.000533,0.999444,0.999455,2.28e-05,3.8361
51,stage1_layout,0.601308,0.453980,0.294656,2.026550,6.399128,1.000553,0.999425,0.999433,2.32e-05,4.0813
52,stage1_layout,0.605060,0.457242,0.295635,2.078125,6.500002,1.000574,0.999405,0.999411,2.37e-05,2.9223
53,stage1_layout,0.611498,0.460465,0.302066,2.109497,6.636995,1.000595,0.999385,0.999389,2.41e-05,3.0261
54,stage1_layout,0.604352,0.456890,0.294923,1.920929,6.578045,1.000616,0.999365,0.999367,2.46e-05,3.2934
55,stage1_layout,0.613662,0.465066,0.297193,2.143616,6.719738,1.000637,0.999344,0.999344,2.50e-05,2.5248
56,stage1_layout,0.603868,0.455580,0.296575,1.827057,6.730782,1.000659,0.999324,0.999321,2.54e-05,2.9170
57,stage1_layout,0.601494,0.452951,0.297086,1.762028,6.742477,1.000681,0.999303,0.999297,2.59e-05,3.1562
58,stage1_layout,0.596245,0.449484,0.293522,1.658184,6.662426,1.000703,0.999282,0.999273,2.63e-05,4.1652
59,stage1_layout,0.612733,0.464542,0.296383,2.068878,6.744077,1.000726,0.999262,0.999248,2.68e-05,4.2177
60,stage1_layout,0.607663,0.458903,0.297520,1.824776,6.669999,1.000750,0.999242,0.999223,2.72e-05,3.7058
61,stage1_layout,0.610224,0.461063,0.298322,1.762421,6.651204,1.000773,0.999221,0.999197,2.76e-05,2.6174
62,stage1_layout,0.602628,0.456876,0.291503,1.848755,6.450571,1.000797,0.999200,0.999171,2.81e-05,2.8929
63,stage1_layout,0.607591,0.460280,0.294623,1.821838,6.658844,1.000822,0.999179,0.999145,2.85e-05,3.6490
64,stage1_layout,0.610298,0.464585,0.291427,1.904510,6.689691,1.000847,0.999159,0.999118,2.89e-05,5.0126
65,stage1_layout,0.609141,0.463779,0.290725,1.836853,6.644711,1.000872,0.999138,0.999091,2.94e-05,4.0988
66,stage1_layout,0.604284,0.459473,0.289622,1.757477,6.638202,1.000898,0.999116,0.999063,2.98e-05,3.8817
67,stage1_layout,0.594743,0.450506,0.288475,1.643356,6.661013,1.000924,0.999095,0.999035,3.03e-05,3.3535
68,stage1_layout,0.601739,0.458179,0.287120,1.723022,6.590770,1.000950,0.999074,0.999006,3.07e-05,4.3613
69,stage1_layout,0.606314,0.461390,0.289847,1.879333,6.586553,1.000977,0.999053,0.998977,3.11e-05,4.7698
70,stage1_layout,0.601834,0.459071,0.285526,1.863344,6.717116,1.001004,0.999031,0.998948,3.16e-05,4.4214
71,stage1_layout,0.604075,0.460289,0.287572,1.678802,6.606186,1.001032,0.999009,0.998918,3.20e-05,3.2618
72,stage1_layout,0.608702,0.464375,0.288655,1.894501,6.608518,1.001060,0.998988,0.998888,3.25e-05,3.9339
73,stage1_layout,0.603875,0.458844,0.290061,1.741047,6.521457,1.001089,0.998966,0.998857,3.29e-05,3.4207
74,stage1_layout,0.599578,0.457758,0.283640,1.653351,6.545673,1.001118,0.998943,0.998827,3.33e-05,3.1213
75,stage1_layout,0.605487,0.461758,0.287457,1.755188,6.683364,1.001147,0.998921,0.998795,3.38e-05,4.2320
76,stage1_layout,0.605064,0.462987,0.284153,1.889832,6.638680,1.001177,0.998899,0.998763,3.42e-05,3.5235
77,stage1_layout,0.599928,0.459217,0.281422,1.781830,6.375801,1.001208,0.998876,0.998731,3.46e-05,4.3085
78,stage1_layout,0.596111,0.452525,0.287172,1.594820,6.515314,1.001238,0.998852,0.998698,3.51e-05,3.4073
79,stage1_layout,0.596493,0.457403,0.278181,1.752930,6.309222,1.001270,0.998830,0.998665,3.55e-05,3.4361
80,stage1_layout,0.592453,0.452627,0.279651,1.562065,6.605977,1.001301,0.998806,0.998632,3.60e-05,2.7449
81,stage1_layout,0.599003,0.459137,0.279732,1.832458,6.573609,1.001333,0.998783,0.998598,3.64e-05,3.0805
82,stage1_layout,0.601356,0.459371,0.283970,1.738136,6.625392,1.001366,0.998760,0.998564,3.68e-05,2.9149
83,stage1_layout,0.596494,0.456902,0.279184,1.624001,6.635425,1.001399,0.998736,0.998529,3.73e-05,3.2510
84,stage1_layout,0.601559,0.461164,0.280791,1.864746,6.521173,1.001433,0.998713,0.998494,3.77e-05,2.8729
85,stage1_layout,0.593636,0.456012,0.275249,1.770905,6.445888,1.001467,0.998688,0.998459,3.82e-05,2.6999
86,stage1_layout,0.590863,0.454332,0.273061,1.780313,6.520615,1.001501,0.998664,0.998423,3.86e-05,3.5948
