step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.489325,0.000000,0.489325,2.50e-05,2.6971,0.03,
1,0,0.494043,0.000000,0.494043,5.00e-05,1.9099,0.03,
2,0,0.477910,0.000000,0.477910,7.50e-05,0.6617,0.03,
3,0,0.488493,0.000000,0.488493,1.00e-04,0.4483,0.03,
4,0,0.481699,0.000000,0.481699,9.98e-05,0.3168,0.03,
5,0,0.484705,0.000000,0.484705,9.90e-05,0.8667,0.04,
6,0,0.493649,0.000000,0.493649,9.78e-05,0.3710,0.03,
7,0,0.478771,0.000000,0.478771,9.62e-05,0.2896,0.03,
8,0,0.488769,0.000000,0.488769,9.41e-05,0.3651,0.03,
8,0,,,,,,,0.479198
9,0,0.484072,0.000000,0.484072,9.16e-05,0.1888,0.00,
10,0,0.492663,0.000000,0.492663,8.87e-05,0.2629,0.03,
11,0,0.485598,0.000000,0.485598,8.54e-05,0.2350,0.03,
12,0,0.486033,0.000000,0.486033,8.17e-05,0.1796,0.03,
13,0,0.486778,0.000000,0.486778,7.78e-05,0.1920,0.03,
14,0,0.476968,0.000000,0.476968,7.36e-05,0.2111,0.03,
15,0,0.482445,0.000000,0.482445,6.91e-05,0.2314,0.03,
16,0,0.467467,0.000000,0.467467,6.45e-05,0.2111,0.03,
17,0,0.477217,0.000000,0.477217,5.98e-05,0.1739,0.03,
17,0,,,,,,,0.478992
18,1,0.486392,0.000000,0.486392,5.49e-05,0.1874,0.00,
19,1,0.484199,0.000000,0.484199,5.00e-05,0.1763,0.03,
20,1,0.484415,0.000000,0.484415,4.51e-05,0.2064,0.03,
21,1,0.483643,0.000000,0.483643,4.02e-05,0.1406,0.03,
22,1,0.476431,0.000000,0.476431,3.55e-05,0.1338,0.03,
23,1,0.476347,0.000000,0.476347,3.09e-05,0.1403,0.03,
24,1,0.477510,0.000000,0.477510,2.64e-05,0.2394,0.03,
25,1,0.468261,0.000000,0.468261,2.22e-05,0.1868,0.03,
26,1,0.468752,0.000000,0.468752,1.83e-05,0.1632,0.03,
26,1,,,,,,,0.477090
27,1,0.473610,0.000000,0.473610,1.46e-05,0.1221,0.00,
28,1,0.471811,0.000000,0.471811,1.13e-05,0.1283,0.03,
29,1,0.485175,0.000000,0.485175,1.00e-05,0.1213,0.03,
30,1,0.472375,0.000000,0.472375,1.00e-05,0.1128,0.03,
31,1,0.472415,0.000000,0.472415,1.00e-05,0.1402,0.03,
32,1,0.477084,0.000000,0.477084,1.00e-05,0.1138,0.03,
33,1,0.477400,0.000000,0.477400,1.00e-05,0.1587,0.03,
34,1,0.472074,0.000000,0.472074,1.00e-05,0.1533,0.03,
35,1,0.470500,0.000000,0.470500,1.00e-05,0.1727,0.03,
35,1,,,,,,,0.471551
