step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage1_layout,0.513091,0.372194,0.281793,0.000000,0.000000,0.000000,0.000000,0.000000,4.55e-06,1.2513
1,stage1_layout,0.506490,0.366817,0.279346,0.000000,0.000000,0.000000,0.000000,0.000000,6.82e-06,1.0107
2,stage1_layout,0.501886,0.362484,0.278804,0.000000,0.000000,0.000000,0.000000,0.000000,9.09e-06,0.9816
3,stage1_layout,0.504768,0.365020,0.279496,0.000000,0.000000,0.000000,0.000000,0.000000,1.14e-05,0.9086
4,stage1_layout,0.500360,0.361587,0.277546,0.000000,0.000000,0.000000,0.000000,0.000000,1.36e-05,0.8384
5,stage1_layout,0.508424,0.369459,0.277930,0.000000,0.000000,0.000000,0.000000,0.000000,1.59e-05,0.9096
6,stage1_layout,0.504606,0.365686,0.277840,0.000000,0.000000,0.000000,0.000000,0.000000,1.82e-05,0.6354
7,stage1_layout,0.503370,0.364499,0.277742,0.000000,0.000000,0.000000,0.000000,0.000000,2.05e-05,0.5769
8,stage1_layout,0.505385,0.367968,0.274833,0.000000,0.000000,0.000000,0.000000,0.000000,2.27e-05,0.8394
9,stage1_layout,0.502874,0.364153,0.277441,0.000000,0.000000,0.000000,0.000000,0.000000,2.50e-05,0.7822
10,stage1_layout,0.492065,0.357355,0.269420,0.000000,0.000000,0.000000,0.000000,0.000000,2.73e-05,0.7590
11,stage1_layout,0.516625,0.375076,0.283099,0.000000,0.000000,0.000000,0.000000,0.000000,2.95e-05,0.8040
12,stage1_layout,0.500530,0.363343,0.274375,0.000000,0.000000,0.000000,0.000000,0.000000,3.18e-05,0.8321
13,stage1_layout,0.500279,0.363647,0.273264,0.000000,0.000000,0.000000,0.000000,0.000000,3.41e-05,0.5653
14,stage1_layout,0.497832,0.361389,0.272886,0.000000,0.000000,0.000000,0.000000,0.000000,3.64e-05,0.4237
15,stage1_layout,0.502155,0.364728,0.274855,0.000000,0.000000,0.000000,0.000000,0.000000,3.86e-05,0.6570
16,stage1_layout,0.497784,0.361587,0.272395,0.000000,0.000000,0.000000,0.000000,0.000000,4.09e-05,0.6768
17,stage1_layout,0.503107,0.365786,0.274641,0.000000,0.000000,0.000000,0.000000,0.000000,4.32e-05,0.6491
18,stage1_layout,0.494564,0.358679,0.271770,0.000000,0.000000,0.000000,0.000000,0.000000,4.55e-05,0.5287
19,stage1_layout,0.500038,0.362988,0.274100,0.000000,0.000000,0.000000,0.000000,0.000000,4.77e-05,0.4210
20,stage1_layout,0.503650,0.366025,0.275249,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5292
21,stage1_layout,0.494495,0.358851,0.271288,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5579
22,stage1_layout,0.487403,0.354437,0.265933,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3737
23,stage1_layout,0.499873,0.364609,0.270528,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6437
24,stage1_layout,0.491383,0.357330,0.268105,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4373
25,stage1_layout,0.489851,0.356675,0.266351,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4062
26,stage1_layout,0.492964,0.358322,0.269285,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5977
27,stage1_layout,0.495857,0.360960,0.269794,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4637
28,stage1_layout,0.508075,0.369243,0.277662,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4546
29,stage1_layout,0.498456,0.363403,0.270105,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4291
30,stage1_layout,0.493417,0.360021,0.266791,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5574
31,stage1_layout,0.503041,0.367263,0.271557,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3815
32,stage1_layout,0.488894,0.355920,0.265948,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6018
33,stage1_layout,0.487384,0.353249,0.268270,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4992
34,stage1_layout,0.500402,0.364457,0.271890,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6919
35,stage1_layout,0.492244,0.357933,0.268622,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4838
36,stage1_layout,0.494655,0.361595,0.266119,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4100
37,stage1_layout,0.498782,0.364159,0.269245,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4533
38,stage1_layout,0.482466,0.351876,0.261179,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3546
39,stage1_layout,0.486603,0.353837,0.265532,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4470
