step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.507012,0.368364,0.277297,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-06,1.0346
1,stage0_head_only,0.509074,0.367727,0.282695,0.000000,0.000000,0.000000,0.000000,0.000000,5.36e-06,1.1460
2,stage0_head_only,0.503914,0.363339,0.281151,0.000000,0.000000,0.000000,0.000000,0.000000,7.14e-06,1.1867
3,stage0_head_only,0.506455,0.365210,0.282490,0.000000,0.000000,0.000000,0.000000,0.000000,8.93e-06,1.3024
4,stage0_head_only,0.503126,0.363526,0.279200,0.000000,0.000000,0.000000,0.000000,0.000000,1.07e-05,1.0015
5,stage0_head_only,0.507140,0.366067,0.282146,0.000000,0.000000,0.000000,0.000000,0.000000,1.25e-05,1.1888
6,stage0_head_only,0.514477,0.371411,0.286131,0.000000,0.000000,0.000000,0.000000,0.000000,1.43e-05,0.9895
7,stage0_head_only,0.500488,0.362181,0.276615,0.000000,0.000000,0.000000,0.000000,0.000000,1.61e-05,0.9739
8,stage0_head_only,0.510184,0.367296,0.285775,0.000000,0.000000,0.000000,0.000000,0.000000,1.79e-05,0.6867
9,stage0_head_only,0.503018,0.363107,0.279822,0.000000,0.000000,0.000000,0.000000,0.000000,1.96e-05,0.6883
10,stage0_head_only,0.500112,0.361823,0.276578,0.000000,0.000000,0.000000,0.000000,0.000000,2.14e-05,0.7100
11,stage0_head_only,0.507413,0.366428,0.281971,0.000000,0.000000,0.000000,0.000000,0.000000,2.32e-05,0.6248
12,stage0_head_only,0.497883,0.358680,0.278407,0.000000,0.000000,0.000000,0.000000,0.000000,2.50e-05,0.9298
13,stage0_head_only,0.501133,0.362038,0.278189,0.000000,0.000000,0.000000,0.000000,0.000000,2.68e-05,0.7122
14,stage0_head_only,0.502396,0.364313,0.276167,0.000000,0.000000,0.000000,0.000000,0.000000,2.86e-05,0.6596
15,stage0_head_only,0.499149,0.360921,0.276456,0.000000,0.000000,0.000000,0.000000,0.000000,3.04e-05,0.6866
16,stage0_head_only,0.501587,0.362575,0.278023,0.000000,0.000000,0.000000,0.000000,0.000000,3.21e-05,0.7643
17,stage0_head_only,0.502131,0.362519,0.279224,0.000000,0.000000,0.000000,0.000000,0.000000,3.39e-05,0.5301
18,stage0_head_only,0.489362,0.351953,0.274818,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-05,0.6735
19,stage0_head_only,0.495092,0.357906,0.274371,0.000000,0.000000,0.000000,0.000000,0.000000,3.75e-05,0.6648
20,stage0_head_only,0.491528,0.355517,0.272021,0.000000,0.000000,0.000000,0.000000,0.000000,3.93e-05,0.6618
21,stage0_head_only,0.491249,0.355114,0.272270,0.000000,0.000000,0.000000,0.000000,0.000000,4.11e-05,0.7162
22,stage0_head_only,0.483032,0.349070,0.267922,0.000000,0.000000,0.000000,0.000000,0.000000,4.29e-05,0.4010
23,stage0_head_only,0.498245,0.361823,0.272845,0.000000,0.000000,0.000000,0.000000,0.000000,4.46e-05,0.5115
24,stage0_head_only,0.491342,0.356128,0.270427,0.000000,0.000000,0.000000,0.000000,0.000000,4.64e-05,0.6085
25,stage0_head_only,0.492308,0.357068,0.270480,0.000000,0.000000,0.000000,0.000000,0.000000,4.82e-05,0.6249
26,stage0_head_only,0.486624,0.351876,0.269497,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5297
27,stage0_head_only,0.496027,0.360272,0.271509,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5751
28,stage1_layout,0.503823,0.366998,0.273651,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5443
29,stage1_layout,0.500455,0.363754,0.273401,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7378
30,stage1_layout,0.496890,0.361337,0.271105,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5880
31,stage1_layout,0.504579,0.367546,0.274066,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4782
32,stage1_layout,0.490160,0.356609,0.267101,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4988
33,stage1_layout,0.497752,0.362156,0.271192,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4157
34,stage1_layout,0.490469,0.356348,0.268242,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5266
35,stage1_layout,0.500792,0.363549,0.274486,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5246
36,stage1_layout,0.488249,0.354443,0.267612,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4577
