step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.506119,0.367660,0.276918,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-06,1.0957
1,stage0_head_only,0.508090,0.366602,0.282977,0.000000,0.000000,0.000000,0.000000,0.000000,5.36e-06,1.2266
2,stage0_head_only,0.500862,0.360281,0.281162,0.000000,0.000000,0.000000,0.000000,0.000000,7.14e-06,1.0726
3,stage0_head_only,0.511736,0.368154,0.287165,0.000000,0.000000,0.000000,0.000000,0.000000,8.93e-06,0.9896
4,stage0_head_only,0.503193,0.363028,0.280329,0.000000,0.000000,0.000000,0.000000,0.000000,1.07e-05,0.9375
5,stage0_head_only,0.511631,0.369723,0.283815,0.000000,0.000000,0.000000,0.000000,0.000000,1.25e-05,1.0314
6,stage0_head_only,0.512501,0.370368,0.284266,0.000000,0.000000,0.000000,0.000000,0.000000,1.43e-05,0.8122
7,stage0_head_only,0.501462,0.362825,0.277274,0.000000,0.000000,0.000000,0.000000,0.000000,1.61e-05,0.8864
8,stage0_head_only,0.503326,0.363649,0.279354,0.000000,0.000000,0.000000,0.000000,0.000000,1.79e-05,0.8086
9,stage0_head_only,0.501164,0.361746,0.278837,0.000000,0.000000,0.000000,0.000000,0.000000,1.96e-05,0.7964
10,stage0_head_only,0.500036,0.361838,0.276396,0.000000,0.000000,0.000000,0.000000,0.000000,2.14e-05,0.6782
11,stage0_head_only,0.507729,0.367118,0.281221,0.000000,0.000000,0.000000,0.000000,0.000000,2.32e-05,0.6602
12,stage0_head_only,0.498825,0.359796,0.278059,0.000000,0.000000,0.000000,0.000000,0.000000,2.50e-05,0.8991
13,stage0_head_only,0.501571,0.362402,0.278336,0.000000,0.000000,0.000000,0.000000,0.000000,2.68e-05,0.7851
14,stage0_head_only,0.499408,0.362286,0.274245,0.000000,0.000000,0.000000,0.000000,0.000000,2.86e-05,0.5975
15,stage0_head_only,0.500260,0.361010,0.278500,0.000000,0.000000,0.000000,0.000000,0.000000,3.04e-05,0.6227
16,stage0_head_only,0.500441,0.361854,0.277174,0.000000,0.000000,0.000000,0.000000,0.000000,3.21e-05,0.7444
17,stage0_head_only,0.500485,0.361167,0.278634,0.000000,0.000000,0.000000,0.000000,0.000000,3.39e-05,0.5694
18,stage0_head_only,0.490539,0.353335,0.274407,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-05,0.6734
19,stage0_head_only,0.492187,0.356111,0.272153,0.000000,0.000000,0.000000,0.000000,0.000000,3.75e-05,0.6190
20,stage0_head_only,0.498526,0.361232,0.274588,0.000000,0.000000,0.000000,0.000000,0.000000,3.93e-05,0.6288
