step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage1_layout,0.509539,0.370936,0.277207,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-06,1.2530
1,stage1_layout,0.505129,0.365234,0.279790,0.000000,0.000000,0.000000,0.000000,0.000000,5.36e-06,1.1342
2,stage1_layout,0.498316,0.360276,0.276080,0.000000,0.000000,0.000000,0.000000,0.000000,7.14e-06,1.0088
3,stage1_layout,0.506075,0.365948,0.280254,0.000000,0.000000,0.000000,0.000000,0.000000,8.93e-06,1.0183
4,stage1_layout,0.505125,0.365750,0.278750,0.000000,0.000000,0.000000,0.000000,0.000000,1.07e-05,0.8101
5,stage1_layout,0.509323,0.369391,0.279866,0.000000,0.000000,0.000000,0.000000,0.000000,1.25e-05,0.8677
6,stage1_layout,0.504275,0.365837,0.276875,0.000000,0.000000,0.000000,0.000000,0.000000,1.43e-05,0.8657
7,stage1_layout,0.505639,0.366272,0.278733,0.000000,0.000000,0.000000,0.000000,0.000000,1.61e-05,1.1330
8,stage1_layout,0.506186,0.366813,0.278745,0.000000,0.000000,0.000000,0.000000,0.000000,1.79e-05,0.7169
9,stage1_layout,0.504492,0.366333,0.276319,0.000000,0.000000,0.000000,0.000000,0.000000,1.96e-05,0.7484
10,stage1_layout,0.499089,0.362550,0.273078,0.000000,0.000000,0.000000,0.000000,0.000000,2.14e-05,0.9517
11,stage1_layout,0.507974,0.367844,0.280260,0.000000,0.000000,0.000000,0.000000,0.000000,2.32e-05,0.5385
12,stage1_layout,0.499500,0.362307,0.274387,0.000000,0.000000,0.000000,0.000000,0.000000,2.50e-05,0.5798
13,stage1_layout,0.499069,0.362078,0.273982,0.000000,0.000000,0.000000,0.000000,0.000000,2.68e-05,0.5360
14,stage1_layout,0.500396,0.363523,0.273747,0.000000,0.000000,0.000000,0.000000,0.000000,2.86e-05,0.6112
15,stage1_layout,0.500250,0.363069,0.274362,0.000000,0.000000,0.000000,0.000000,0.000000,3.04e-05,0.6849
16,stage1_layout,0.503766,0.364806,0.277920,0.000000,0.000000,0.000000,0.000000,0.000000,3.21e-05,0.5444
17,stage1_layout,0.502055,0.363822,0.276465,0.000000,0.000000,0.000000,0.000000,0.000000,3.39e-05,0.4362
18,stage1_layout,0.494464,0.357958,0.273012,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-05,0.4716
19,stage1_layout,0.496142,0.360081,0.272121,0.000000,0.000000,0.000000,0.000000,0.000000,3.75e-05,0.4868
20,stage1_layout,0.496793,0.360836,0.271913,0.000000,0.000000,0.000000,0.000000,0.000000,3.93e-05,0.6398
21,stage1_layout,0.488159,0.354042,0.268234,0.000000,0.000000,0.000000,0.000000,0.000000,4.11e-05,0.3382
22,stage1_layout,0.484553,0.351373,0.266359,0.000000,0.000000,0.000000,0.000000,0.000000,4.29e-05,0.4308
23,stage1_layout,0.498468,0.363105,0.270726,0.000000,0.000000,0.000000,0.000000,0.000000,4.46e-05,0.4908
24,stage1_layout,0.493338,0.358442,0.269792,0.000000,0.000000,0.000000,0.000000,0.000000,4.64e-05,0.4272
25,stage1_layout,0.492104,0.357553,0.269102,0.000000,0.000000,0.000000,0.000000,0.000000,4.82e-05,0.6682
26,stage1_layout,0.492595,0.358881,0.267427,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4980
27,stage1_layout,0.490712,0.356902,0.267619,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4037
28,stage1_layout,0.510934,0.372861,0.276146,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4261
29,stage1_layout,0.499169,0.363995,0.270347,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4086
30,stage1_layout,0.491182,0.358141,0.266083,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4356
31,stage1_layout,0.498048,0.361021,0.274055,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4497
32,stage1_layout,0.487121,0.354151,0.265939,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4756
33,stage1_layout,0.489045,0.354011,0.270068,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4353
34,stage1_layout,0.502850,0.365467,0.274767,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4960
35,stage1_layout,0.487861,0.356202,0.263318,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5380
36,stage1_layout,0.492355,0.358850,0.267011,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5168
37,stage1_layout,0.490177,0.355569,0.269217,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5439
38,stage1_layout,0.487633,0.355901,0.263464,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4305
39,stage1_layout,0.481221,0.348677,0.265087,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4505
40,stage1_layout,0.483068,0.350813,0.264510,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4795
41,stage1_layout,0.481695,0.351373,0.260643,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4727
42,stage1_layout,0.476668,0.347497,0.258342,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4937
43,stage1_layout,0.487821,0.355616,0.264409,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4315
44,stage1_layout,0.484380,0.353346,0.262069,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5213
45,stage1_layout,0.503670,0.366874,0.273593,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4807
46,stage1_layout,0.486370,0.354337,0.264067,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4521
47,stage1_layout,0.488638,0.356939,0.263397,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3535
48,stage1_layout,0.487278,0.354177,0.266202,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3888
49,stage1_layout,0.489300,0.356750,0.265100,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4676
50,stage1_layout,0.479288,0.348633,0.261309,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5574
51,stage1_layout,0.476608,0.347444,0.258328,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6374
52,stage1_layout,0.495612,0.361205,0.268814,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4685
53,stage1_layout,0.481660,0.350862,0.261596,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4529
