step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.505645,0.366821,0.277649,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-06,1.1593
1,stage0_head_only,0.505981,0.364808,0.282347,0.000000,0.000000,0.000000,0.000000,0.000000,5.36e-06,1.2248
2,stage0_head_only,0.505599,0.364583,0.282032,0.000000,0.000000,0.000000,0.000000,0.000000,7.14e-06,1.1686
3,stage0_head_only,0.508552,0.366305,0.284494,0.000000,0.000000,0.000000,0.000000,0.000000,8.93e-06,1.2019
4,stage0_head_only,0.500643,0.362465,0.276356,0.000000,0.000000,0.000000,0.000000,0.000000,1.07e-05,0.9405
5,stage0_head_only,0.507105,0.366065,0.282081,0.000000,0.000000,0.000000,0.000000,0.000000,1.25e-05,1.0758
6,stage0_head_only,0.509878,0.368609,0.282538,0.000000,0.000000,0.000000,0.000000,0.000000,1.43e-05,0.9085
7,stage0_head_only,0.500602,0.362768,0.275666,0.000000,0.000000,0.000000,0.000000,0.000000,1.61e-05,0.7884
8,stage0_head_only,0.505069,0.364115,0.281910,0.000000,0.000000,0.000000,0.000000,0.000000,1.79e-05,0.7721
9,stage0_head_only,0.505661,0.365035,0.281252,0.000000,0.000000,0.000000,0.000000,0.000000,1.96e-05,0.7353
10,stage0_head_only,0.500616,0.362284,0.276665,0.000000,0.000000,0.000000,0.000000,0.000000,2.14e-05,0.7350
11,stage0_head_only,0.507082,0.366089,0.281986,0.000000,0.000000,0.000000,0.000000,0.000000,2.32e-05,0.8605
12,stage0_head_only,0.499594,0.358988,0.281212,0.000000,0.000000,0.000000,0.000000,0.000000,2.50e-05,0.7602
13,stage0_head_only,0.498742,0.360438,0.276609,0.000000,0.000000,0.000000,0.000000,0.000000,2.68e-05,0.6723
14,stage0_head_only,0.500373,0.362899,0.274948,0.000000,0.000000,0.000000,0.000000,0.000000,2.86e-05,0.6313
15,stage0_head_only,0.496577,0.357793,0.277568,0.000000,0.000000,0.000000,0.000000,0.000000,3.04e-05,0.6626
16,stage0_head_only,0.501327,0.362240,0.278173,0.000000,0.000000,0.000000,0.000000,0.000000,3.21e-05,0.6912
17,stage0_head_only,0.499809,0.360718,0.278182,0.000000,0.000000,0.000000,0.000000,0.000000,3.39e-05,0.6044
18,stage0_head_only,0.488219,0.352022,0.272395,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-05,0.7793
19,stage0_head_only,0.497641,0.359861,0.275560,0.000000,0.000000,0.000000,0.000000,0.000000,3.75e-05,0.7204
20,stage0_head_only,0.497092,0.361165,0.271854,0.000000,0.000000,0.000000,0.000000,0.000000,3.93e-05,0.5599
21,stage0_head_only,0.492800,0.357039,0.271522,0.000000,0.000000,0.000000,0.000000,0.000000,4.11e-05,0.7465
22,stage0_head_only,0.486094,0.350066,0.272056,0.000000,0.000000,0.000000,0.000000,0.000000,4.29e-05,0.6200
23,stage0_head_only,0.492564,0.357120,0.270888,0.000000,0.000000,0.000000,0.000000,0.000000,4.46e-05,0.6529
24,stage0_head_only,0.490820,0.354759,0.272122,0.000000,0.000000,0.000000,0.000000,0.000000,4.64e-05,0.5222
25,stage0_head_only,0.491072,0.356366,0.269413,0.000000,0.000000,0.000000,0.000000,0.000000,4.82e-05,0.5806
26,stage0_head_only,0.489495,0.354458,0.270075,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5174
27,stage0_head_only,0.498651,0.361932,0.273439,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6143
28,stage1_layout,0.502510,0.365068,0.274886,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4938
29,stage1_layout,0.498253,0.362118,0.272269,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6645
30,stage1_layout,0.496606,0.360900,0.271413,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5143
31,stage1_layout,0.505335,0.367816,0.275037,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5459
32,stage1_layout,0.489456,0.354318,0.270276,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7632
33,stage1_layout,0.496297,0.360975,0.270643,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4622
34,stage1_layout,0.487475,0.354912,0.265125,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5196
35,stage1_layout,0.500219,0.363528,0.273383,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5054
36,stage1_layout,0.486160,0.353252,0.265816,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5764
37,stage1_layout,0.497856,0.362868,0.269976,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7785
38,stage1_layout,0.491514,0.357469,0.268090,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4242
39,stage1_layout,0.489648,0.355855,0.267587,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5248
40,stage1_layout,0.481702,0.350721,0.261962,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5118
41,stage1_layout,0.482362,0.350675,0.263375,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3898
42,stage1_layout,0.491155,0.357276,0.267757,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3879
43,stage1_layout,0.491794,0.359010,0.265570,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4944
44,stage1_layout,0.480061,0.350460,0.259201,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5613
45,stage1_layout,0.484828,0.353597,0.262461,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3989
46,stage1_layout,0.485435,0.353922,0.263026,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4620
47,stage1_layout,0.481833,0.351331,0.261005,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3829
48,stage1_layout,0.494412,0.360104,0.268615,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3588
49,stage1_layout,0.495945,0.362421,0.267049,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6161
50,stage1_layout,0.474166,0.344779,0.258774,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4145
51,stage1_layout,0.488009,0.356717,0.262586,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3632
52,stage1_layout,0.478569,0.348099,0.260941,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3327
53,stage1_layout,0.481151,0.350744,0.260815,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3856
54,stage1_layout,0.493513,0.360530,0.265967,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4689
55,stage1_layout,0.490373,0.358899,0.262948,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4118
56,stage1_layout,0.480262,0.349570,0.261385,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7152
57,stage1_layout,0.480238,0.349792,0.260893,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4966
58,stage1_layout,0.480759,0.350356,0.260805,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4663
59,stage1_layout,0.487494,0.356485,0.262019,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6203
60,stage1_layout,0.477525,0.348515,0.258020,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3388
61,stage1_layout,0.492731,0.359957,0.265548,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5998
62,stage1_layout,0.479201,0.349373,0.259655,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3887
63,stage1_layout,0.485362,0.355165,0.260393,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4454
64,stage1_layout,0.478846,0.349086,0.259520,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4472
65,stage1_layout,0.490614,0.359670,0.261888,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4558
66,stage1_layout,0.473067,0.344797,0.256539,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4727
67,stage1_layout,0.490248,0.358620,0.263255,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4427
68,stage1_layout,0.490114,0.357999,0.264230,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4018
69,stage1_layout,0.483218,0.352483,0.261468,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4570
70,stage1_layout,0.475563,0.346822,0.257483,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5061
71,stage1_layout,0.472205,0.343622,0.257167,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4765
72,stage1_layout,0.474289,0.344978,0.258622,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4595
73,stage1_layout,0.483779,0.353644,0.260270,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4056
74,stage1_layout,0.492553,0.360251,0.264604,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3870
75,stage1_layout,0.481273,0.352013,0.258519,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3980
76,stage1_layout,0.481178,0.352643,0.257070,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3821
77,stage1_layout,0.490574,0.358501,0.264145,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4757
78,stage1_layout,0.487839,0.356555,0.262568,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4111
79,stage1_layout,0.487628,0.357688,0.259882,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3264
80,stage1_layout,0.478423,0.348297,0.260253,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4159
81,stage1_layout,0.482894,0.351086,0.263616,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3544
