step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.507406,0.367888,0.279035,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-06,1.1833
1,stage0_head_only,0.507182,0.366402,0.281559,0.000000,0.000000,0.000000,0.000000,0.000000,5.36e-06,1.3182
2,stage0_head_only,0.506220,0.365204,0.282032,0.000000,0.000000,0.000000,0.000000,0.000000,7.14e-06,0.9896
3,stage0_head_only,0.503420,0.362331,0.282178,0.000000,0.000000,0.000000,0.000000,0.000000,8.93e-06,1.1544
4,stage0_head_only,0.505154,0.365531,0.279245,0.000000,0.000000,0.000000,0.000000,0.000000,1.07e-05,0.9095
5,stage0_head_only,0.507456,0.365501,0.283910,0.000000,0.000000,0.000000,0.000000,0.000000,1.25e-05,1.1198
6,stage0_head_only,0.507439,0.366393,0.282092,0.000000,0.000000,0.000000,0.000000,0.000000,1.43e-05,0.9237
7,stage0_head_only,0.503155,0.363846,0.278617,0.000000,0.000000,0.000000,0.000000,0.000000,1.61e-05,0.8892
8,stage0_head_only,0.506628,0.364642,0.283971,0.000000,0.000000,0.000000,0.000000,0.000000,1.79e-05,0.8443
9,stage0_head_only,0.504231,0.364092,0.280279,0.000000,0.000000,0.000000,0.000000,0.000000,1.96e-05,0.6440
10,stage0_head_only,0.500417,0.362627,0.275581,0.000000,0.000000,0.000000,0.000000,0.000000,2.14e-05,0.8645
11,stage0_head_only,0.506612,0.365828,0.281569,0.000000,0.000000,0.000000,0.000000,0.000000,2.32e-05,0.7124
12,stage0_head_only,0.498279,0.359869,0.276821,0.000000,0.000000,0.000000,0.000000,0.000000,2.50e-05,0.6938
13,stage0_head_only,0.498024,0.359523,0.277001,0.000000,0.000000,0.000000,0.000000,0.000000,2.68e-05,0.6775
14,stage0_head_only,0.503014,0.364084,0.277860,0.000000,0.000000,0.000000,0.000000,0.000000,2.86e-05,0.6271
15,stage0_head_only,0.497423,0.359255,0.276336,0.000000,0.000000,0.000000,0.000000,0.000000,3.04e-05,0.6942
16,stage0_head_only,0.502114,0.363537,0.277154,0.000000,0.000000,0.000000,0.000000,0.000000,3.21e-05,0.8214
17,stage0_head_only,0.505669,0.364130,0.283079,0.000000,0.000000,0.000000,0.000000,0.000000,3.39e-05,0.6097
18,stage0_head_only,0.487078,0.349464,0.275229,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-05,0.6426
19,stage0_head_only,0.496701,0.359387,0.274629,0.000000,0.000000,0.000000,0.000000,0.000000,3.75e-05,0.5843
20,stage0_head_only,0.490644,0.354456,0.272375,0.000000,0.000000,0.000000,0.000000,0.000000,3.93e-05,0.6676
21,stage0_head_only,0.491413,0.355067,0.272691,0.000000,0.000000,0.000000,0.000000,0.000000,4.11e-05,0.6187
22,stage0_head_only,0.489970,0.353345,0.273250,0.000000,0.000000,0.000000,0.000000,0.000000,4.29e-05,0.5413
23,stage0_head_only,0.495758,0.359700,0.272117,0.000000,0.000000,0.000000,0.000000,0.000000,4.46e-05,0.5612
24,stage0_head_only,0.492721,0.356348,0.272745,0.000000,0.000000,0.000000,0.000000,0.000000,4.64e-05,0.4832
25,stage0_head_only,0.492554,0.357072,0.270963,0.000000,0.000000,0.000000,0.000000,0.000000,4.82e-05,0.7218
26,stage0_head_only,0.486613,0.352875,0.267475,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6495
27,stage0_head_only,0.493112,0.357847,0.270529,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5210
28,stage1_layout,0.503123,0.365455,0.275335,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4721
29,stage1_layout,0.501265,0.364252,0.274025,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6443
30,stage1_layout,0.500304,0.362892,0.274824,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5956
31,stage1_layout,0.506508,0.369494,0.274027,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4218
32,stage1_layout,0.488478,0.354011,0.268934,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5109
33,stage1_layout,0.500669,0.364004,0.273330,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4356
34,stage1_layout,0.488450,0.354699,0.267501,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5821
35,stage1_layout,0.498732,0.362608,0.272248,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5342
36,stage1_layout,0.489032,0.355397,0.267271,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5402
37,stage1_layout,0.499067,0.364155,0.269824,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5949
38,stage1_layout,0.492763,0.358750,0.268026,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4815
39,stage1_layout,0.489668,0.356258,0.266821,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4937
40,stage1_layout,0.477162,0.346814,0.260695,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4419
41,stage1_layout,0.484556,0.351947,0.265218,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4263
42,stage1_layout,0.491547,0.357531,0.268032,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4923
43,stage1_layout,0.489806,0.356989,0.265635,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4170
44,stage1_layout,0.484222,0.353309,0.261827,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4399
45,stage1_layout,0.482999,0.351733,0.262531,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6096
