step,stage,loss_jepa,loss_masked,loss_context,loss_infonce,loss_tcc,uw_w_jepa,uw_w_infonce,uw_w_tcc,lr,grad_norm
0,stage0_head_only,0.509556,0.366496,0.286120,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-06,1.3905
1,stage0_head_only,0.503449,0.361409,0.284081,0.000000,0.000000,0.000000,0.000000,0.000000,5.36e-06,1.3346
2,stage0_head_only,0.510219,0.367424,0.285592,0.000000,0.000000,0.000000,0.000000,0.000000,7.14e-06,1.6951
3,stage0_head_only,0.511702,0.367096,0.289211,0.000000,0.000000,0.000000,0.000000,0.000000,8.93e-06,1.1879
4,stage0_head_only,0.503176,0.360341,0.285668,0.000000,0.000000,0.000000,0.000000,0.000000,1.07e-05,1.3825
5,stage0_head_only,0.508143,0.365355,0.285576,0.000000,0.000000,0.000000,0.000000,0.000000,1.25e-05,1.0398
6,stage0_head_only,0.511286,0.367902,0.286768,0.000000,0.000000,0.000000,0.000000,0.000000,1.43e-05,0.9276
7,stage0_head_only,0.503456,0.361113,0.284685,0.000000,0.000000,0.000000,0.000000,0.000000,1.61e-05,0.8892
8,stage0_head_only,0.506078,0.364317,0.283522,0.000000,0.000000,0.000000,0.000000,0.000000,1.79e-05,0.7748
9,stage0_head_only,0.504032,0.362085,0.283894,0.000000,0.000000,0.000000,0.000000,0.000000,1.96e-05,0.8428
10,stage0_head_only,0.497488,0.357788,0.279400,0.000000,0.000000,0.000000,0.000000,0.000000,2.14e-05,0.8571
11,stage0_head_only,0.503950,0.363650,0.280600,0.000000,0.000000,0.000000,0.000000,0.000000,2.32e-05,1.1383
12,stage0_head_only,0.497362,0.358993,0.276738,0.000000,0.000000,0.000000,0.000000,0.000000,2.50e-05,0.8980
13,stage0_head_only,0.501992,0.360852,0.282279,0.000000,0.000000,0.000000,0.000000,0.000000,2.68e-05,0.8926
14,stage0_head_only,0.501318,0.362935,0.276765,0.000000,0.000000,0.000000,0.000000,0.000000,2.86e-05,0.6194
15,stage0_head_only,0.493524,0.353566,0.279916,0.000000,0.000000,0.000000,0.000000,0.000000,3.04e-05,0.7346
16,stage0_head_only,0.499054,0.360098,0.277912,0.000000,0.000000,0.000000,0.000000,0.000000,3.21e-05,0.7033
17,stage0_head_only,0.497208,0.358053,0.278310,0.000000,0.000000,0.000000,0.000000,0.000000,3.39e-05,0.6987
18,stage0_head_only,0.490361,0.353541,0.273638,0.000000,0.000000,0.000000,0.000000,0.000000,3.57e-05,0.4526
19,stage0_head_only,0.496835,0.359081,0.275508,0.000000,0.000000,0.000000,0.000000,0.000000,3.75e-05,0.8564
20,stage0_head_only,0.492829,0.355406,0.274846,0.000000,0.000000,0.000000,0.000000,0.000000,3.93e-05,0.8587
21,stage0_head_only,0.476027,0.341635,0.268784,0.000000,0.000000,0.000000,0.000000,0.000000,4.11e-05,0.7231
22,stage0_head_only,0.481904,0.347321,0.269165,0.000000,0.000000,0.000000,0.000000,0.000000,4.29e-05,0.5951
23,stage0_head_only,0.490308,0.354898,0.270820,0.000000,0.000000,0.000000,0.000000,0.000000,4.46e-05,0.4337
24,stage0_head_only,0.484578,0.349562,0.270032,0.000000,0.000000,0.000000,0.000000,0.000000,4.64e-05,0.7416
25,stage0_head_only,0.483925,0.349331,0.269188,0.000000,0.000000,0.000000,0.000000,0.000000,4.82e-05,0.4709
26,stage0_head_only,0.482949,0.349325,0.267248,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5936
27,stage0_head_only,0.489065,0.354473,0.269182,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5700
28,stage1_layout,0.508147,0.368774,0.278746,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6092
29,stage1_layout,0.497499,0.360516,0.273967,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5868
30,stage1_layout,0.497819,0.361558,0.272523,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6158
31,stage1_layout,0.501454,0.364558,0.273793,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.7373
32,stage1_layout,0.489988,0.354855,0.270266,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5735
33,stage1_layout,0.497004,0.361208,0.271593,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4369
34,stage1_layout,0.487165,0.352694,0.268941,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5158
35,stage1_layout,0.498957,0.362269,0.273377,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5390
36,stage1_layout,0.491739,0.358009,0.267460,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.6641
37,stage1_layout,0.500171,0.364110,0.272123,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3781
38,stage1_layout,0.489473,0.357322,0.264302,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4794
39,stage1_layout,0.488386,0.354828,0.267116,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5157
40,stage1_layout,0.481682,0.349480,0.264404,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4940
41,stage1_layout,0.490414,0.356835,0.267157,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5336
42,stage1_layout,0.489886,0.356315,0.267141,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4894
43,stage1_layout,0.496224,0.361405,0.269638,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4657
44,stage1_layout,0.483133,0.352233,0.261799,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4715
45,stage1_layout,0.490881,0.358434,0.264893,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4481
46,stage1_layout,0.492419,0.358879,0.267080,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3667
47,stage1_layout,0.482956,0.352235,0.261442,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3426
48,stage1_layout,0.498991,0.363037,0.271909,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4479
49,stage1_layout,0.500524,0.364508,0.272032,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4536
50,stage1_layout,0.482757,0.351036,0.263442,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4258
51,stage1_layout,0.483753,0.354205,0.259097,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3795
52,stage1_layout,0.479415,0.348523,0.261783,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4512
53,stage1_layout,0.486951,0.354730,0.264440,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3940
54,stage1_layout,0.488723,0.356991,0.263464,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3942
55,stage1_layout,0.490728,0.358387,0.264683,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5203
56,stage1_layout,0.476266,0.347442,0.257649,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4787
57,stage1_layout,0.476656,0.346889,0.259533,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4334
58,stage1_layout,0.476210,0.346940,0.258540,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3615
59,stage1_layout,0.483967,0.353120,0.261693,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3984
60,stage1_layout,0.478807,0.348129,0.261356,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3394
61,stage1_layout,0.493161,0.359312,0.267697,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.2859
62,stage1_layout,0.477899,0.349409,0.256980,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.3883
63,stage1_layout,0.487368,0.355717,0.263301,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.5081
64,stage1_layout,0.476471,0.347656,0.257631,0.000000,0.000000,0.000000,0.000000,0.000000,5.00e-05,0.4820
