step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
0,stage1_layout,0.490756,0.359936,0.261642,1.05e-07,1.8205
1,stage1_layout,0.490371,0.357244,0.266256,1.58e-07,2.1997
2,stage1_layout,0.490925,0.359782,0.262287,2.11e-07,2.8379
3,stage1_layout,0.484153,0.353764,0.260780,2.63e-07,1.6911
4,stage1_layout,0.497440,0.363692,0.267496,3.16e-07,2.1644
5,stage1_layout,0.492097,0.359501,0.265191,3.68e-07,4.7173
6,stage1_layout,0.498581,0.364752,0.267658,4.21e-07,3.0370
7,stage1_layout,0.492378,0.359729,0.265298,4.74e-07,1.4888
8,stage1_layout,0.495173,0.362127,0.266093,5.26e-07,4.1246
9,stage1_layout,0.490026,0.358139,0.263775,5.79e-07,1.5294
10,stage1_layout,0.490951,0.359444,0.263014,6.32e-07,2.1394
11,stage1_layout,0.497167,0.363932,0.266470,6.84e-07,4.0095
12,stage1_layout,0.492450,0.359832,0.265237,7.37e-07,1.8623
13,stage1_layout,0.490811,0.358213,0.265197,7.89e-07,3.2274
14,stage1_layout,0.492204,0.359767,0.264875,8.42e-07,1.0316
15,stage1_layout,0.490385,0.359293,0.262185,8.95e-07,1.3094
16,stage1_layout,0.491332,0.358298,0.266068,9.47e-07,2.1991
17,stage1_layout,0.493193,0.359908,0.266571,1.00e-06,2.5674
18,stage1_layout,0.489845,0.358731,0.262228,1.00e-06,1.9113
19,stage1_layout,0.492928,0.359149,0.267560,1.00e-06,1.9729
20,stage1_layout,0.496173,0.362326,0.267693,1.00e-06,2.2421
21,stage1_layout,0.493408,0.359192,0.268432,1.00e-06,1.1839
22,stage1_layout,0.488516,0.356882,0.263269,1.00e-06,1.1769
23,stage1_layout,0.490089,0.357472,0.265233,1.00e-06,0.7122
24,stage1_layout,0.492242,0.360261,0.263962,1.00e-06,0.9055
25,stage1_layout,0.487923,0.355238,0.265371,1.00e-06,0.7658
26,stage1_layout,0.494066,0.358733,0.270667,1.00e-06,0.9480
27,stage1_layout,0.480231,0.350007,0.260449,1.00e-06,1.5625
28,stage1_layout,0.493800,0.359505,0.268590,1.00e-06,0.9122
29,stage1_layout,0.494860,0.360421,0.268877,1.00e-06,1.2294
30,stage1_layout,0.491162,0.358250,0.265824,1.00e-06,0.6776
31,stage1_layout,0.475334,0.347543,0.255582,1.00e-06,0.6542
32,stage1_layout,0.495952,0.361836,0.268231,1.00e-06,0.6547
33,stage1_layout,0.482151,0.351609,0.261084,1.00e-06,0.5026
34,stage1_layout,0.481988,0.352180,0.259616,1.00e-06,0.9351
35,stage1_layout,0.496380,0.362172,0.268416,1.00e-06,0.7530
