step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
0,stage1_layout,0.487581,0.356717,0.261728,6.90e-07,2.0756
1,stage1_layout,0.487541,0.356090,0.262903,1.03e-06,2.1846
2,stage1_layout,0.490251,0.358909,0.262684,1.38e-06,1.7576
3,stage1_layout,0.482322,0.352654,0.259337,1.72e-06,2.0751
4,stage1_layout,0.498234,0.365168,0.266133,2.07e-06,1.9483
5,stage1_layout,0.493025,0.359537,0.266975,2.41e-06,3.4900
6,stage1_layout,0.494138,0.360544,0.267188,2.76e-06,2.9017
7,stage1_layout,0.487760,0.356359,0.262802,3.10e-06,1.5606
8,stage1_layout,0.493775,0.360247,0.267057,3.45e-06,1.8922
9,stage1_layout,0.486986,0.355688,0.262596,3.79e-06,1.5114
10,stage1_layout,0.487735,0.356252,0.262966,4.14e-06,0.8062
11,stage1_layout,0.499815,0.364856,0.269917,4.48e-06,0.8883
12,stage1_layout,0.491268,0.358504,0.265527,4.83e-06,0.4379
13,stage1_layout,0.487630,0.356425,0.262411,5.17e-06,0.4754
14,stage1_layout,0.487142,0.355500,0.263285,5.52e-06,0.4771
15,stage1_layout,0.484464,0.354122,0.260684,5.86e-06,0.5119
16,stage1_layout,0.487568,0.355836,0.263464,6.21e-06,0.6349
17,stage1_layout,0.486327,0.354247,0.264160,6.55e-06,0.6766
18,stage1_layout,0.484768,0.353526,0.262483,6.90e-06,0.3302
19,stage1_layout,0.487946,0.355434,0.265024,7.24e-06,0.4895
20,stage1_layout,0.499112,0.363184,0.271855,7.59e-06,0.4256
21,stage1_layout,0.491105,0.355910,0.270390,7.93e-06,0.5921
22,stage1_layout,0.481070,0.351415,0.259310,8.28e-06,0.2650
23,stage1_layout,0.480280,0.350050,0.260460,8.62e-06,0.3373
24,stage1_layout,0.483059,0.350779,0.264560,8.97e-06,0.4781
25,stage1_layout,0.480818,0.349362,0.262911,9.31e-06,0.4373
26,stage1_layout,0.493355,0.359367,0.267977,9.66e-06,0.2809
27,stage1_layout,0.480548,0.350396,0.260304,1.00e-05,0.3058
28,stage1_layout,0.485007,0.353267,0.263481,1.00e-05,0.3896
29,stage1_layout,0.490038,0.357654,0.264768,1.00e-05,0.2917
30,stage1_layout,0.481842,0.350911,0.261862,1.00e-05,0.3490
