step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.475744,0.000000,0.475744,1.79e-07,1.9003,0.03,
1,0,0.483893,0.000000,0.483893,3.57e-07,1.8651,0.06,
2,0,0.492179,0.000000,0.492179,5.36e-07,1.9786,0.06,
3,0,0.462179,0.000000,0.462179,7.14e-07,3.2055,0.05,
4,0,0.474639,0.000000,0.474639,8.93e-07,2.5368,0.05,
5,0,0.471931,0.000000,0.471931,1.07e-06,2.1379,0.05,
6,0,0.469415,0.000000,0.469415,1.25e-06,1.8964,0.06,
7,0,0.476849,0.000000,0.476849,1.43e-06,1.5196,0.06,
8,0,0.472215,0.000000,0.472215,1.61e-06,1.4233,0.05,
9,0,0.467358,0.000000,0.467358,1.79e-06,1.0392,0.05,
10,0,0.460708,0.000000,0.460708,1.96e-06,1.3302,0.05,
