step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.489054,0.000000,0.489054,3.57e-07,1.4346,0.09,
1,0,0.487063,0.000000,0.487063,7.14e-07,2.0360,0.11,
2,0,0.489794,0.000000,0.489794,1.07e-06,1.2180,0.13,
3,0,0.488907,0.000000,0.488907,1.43e-06,1.7570,0.13,
4,0,0.484956,0.000001,0.484957,1.79e-06,1.4025,0.16,
5,0,0.483922,0.000003,0.483925,2.14e-06,1.0240,0.16,
6,0,0.494183,0.000006,0.494189,2.50e-06,0.7418,0.16,
7,0,0.481499,0.000010,0.481510,2.86e-06,0.5696,0.16,
8,0,0.488876,0.000017,0.488894,3.21e-06,0.5421,0.16,
9,0,0.484601,0.000026,0.484627,3.57e-06,0.4841,0.16,
10,0,0.484142,0.000037,0.484179,3.93e-06,0.4849,0.15,
11,0,0.486026,0.000050,0.486076,4.29e-06,0.2275,0.16,
12,0,0.480609,0.000066,0.480674,4.64e-06,0.2891,0.16,
13,0,0.490775,0.000082,0.490858,5.00e-06,0.4462,0.16,
14,0,0.496024,0.000101,0.496125,5.36e-06,0.3004,0.17,
15,0,0.495698,0.000121,0.495818,5.71e-06,0.1812,0.17,
16,0,0.489446,0.000141,0.489588,6.07e-06,0.2063,0.16,
17,0,0.486448,0.000163,0.486612,6.43e-06,0.1343,0.16,
18,0,0.490109,0.000188,0.490296,6.79e-06,0.1069,0.16,
19,0,0.482602,0.000214,0.482816,7.14e-06,0.1115,0.15,
20,0,0.490235,0.000242,0.490477,7.50e-06,0.1043,0.16,
21,0,0.493953,0.000272,0.494226,7.86e-06,0.1157,0.16,
22,0,0.485843,0.000305,0.486148,8.21e-06,0.0890,0.16,
23,0,0.490245,0.000340,0.490585,8.57e-06,0.1057,0.16,
24,0,0.480657,0.000376,0.481033,8.93e-06,0.0982,0.14,
25,0,0.485614,0.000412,0.486026,9.29e-06,0.0612,0.15,
26,0,0.476801,0.000448,0.477249,9.64e-06,0.0792,0.15,
27,0,0.482552,0.000483,0.483034,1.00e-05,0.0823,0.16,
27,0,,,,,,,1.634110
28,0,0.473145,0.000518,0.473663,1.00e-05,0.0775,0.06,
29,0,0.476369,0.000555,0.476924,1.00e-05,0.0924,0.15,
30,0,0.486766,0.000593,0.487359,1.00e-05,0.0578,0.16,
31,0,0.483263,0.000632,0.483895,9.99e-06,0.0604,0.16,
32,0,0.481659,0.000670,0.482328,9.99e-06,0.1526,0.15,
33,0,0.480750,0.000707,0.481457,9.99e-06,0.0650,0.15,
34,0,0.488228,0.000745,0.488973,9.98e-06,0.0597,0.15,
35,0,0.479942,0.000784,0.480727,9.98e-06,0.0613,0.15,
36,0,0.482442,0.000822,0.483264,9.97e-06,0.0582,0.15,
37,0,0.481293,0.000859,0.482152,9.96e-06,0.0508,0.15,
38,0,0.475200,0.000895,0.476095,9.95e-06,0.0513,0.15,
39,0,0.481618,0.000928,0.482546,9.94e-06,0.0573,0.15,
40,0,0.482105,0.000958,0.483063,9.93e-06,0.0682,0.15,
41,0,0.481235,0.000984,0.482219,9.92e-06,0.0597,0.15,
42,0,0.482173,0.001006,0.483179,9.91e-06,0.0554,0.15,
43,0,0.487729,0.001026,0.488756,9.90e-06,0.0524,0.15,
44,0,0.479048,0.001044,0.480092,9.89e-06,0.0533,0.15,
45,0,0.471932,0.001059,0.472990,9.88e-06,0.0665,0.15,
46,0,0.490371,0.001073,0.491444,9.86e-06,0.0600,0.15,
47,0,0.478694,0.001087,0.479782,9.85e-06,0.0633,0.15,
48,0,0.481160,0.001101,0.482261,9.83e-06,0.1117,0.15,
49,0,0.476486,0.001115,0.477601,9.81e-06,0.1482,0.15,
50,0,0.479067,0.001131,0.480198,9.80e-06,0.0740,0.13,
51,0,0.484118,0.001148,0.485266,9.78e-06,0.0598,0.14,
52,0,0.472747,0.001167,0.473914,9.76e-06,0.0786,0.15,
53,0,0.474796,0.001186,0.475982,9.74e-06,0.1328,0.15,
54,0,0.482051,0.001206,0.483258,9.72e-06,0.0688,0.16,
55,0,0.481342,0.001227,0.482570,9.70e-06,0.1522,0.16,
55,0,,,,,,,1.632980
56,0,0.479174,0.001249,0.480423,9.68e-06,0.0720,0.04,
57,0,0.484490,0.001272,0.485762,9.66e-06,0.0619,0.16,
58,0,0.489329,0.001296,0.490624,9.63e-06,0.0953,0.17,
59,0,0.480328,0.001321,0.481649,9.61e-06,0.0528,0.16,
60,0,0.479515,0.001348,0.480863,9.59e-06,0.0489,0.16,
61,0,0.479621,0.001374,0.480995,9.56e-06,0.0562,0.16,
62,0,0.484697,0.001398,0.486095,9.54e-06,0.0501,0.17,
63,0,0.478160,0.001418,0.479578,9.51e-06,0.0449,0.16,
64,0,0.495942,0.001433,0.497375,9.48e-06,0.0799,0.16,
65,0,0.488912,0.001442,0.490355,9.45e-06,0.0496,0.16,
66,0,0.491035,0.001449,0.492484,9.43e-06,0.0549,0.16,
67,0,0.484632,0.001453,0.486085,9.40e-06,0.0568,0.14,
68,0,0.475214,0.001456,0.476670,9.37e-06,0.0588,0.14,
69,0,0.485796,0.001459,0.487255,9.34e-06,0.0510,0.14,
70,0,0.487406,0.001461,0.488867,9.30e-06,0.0644,0.15,
71,0,0.477328,0.001462,0.478790,9.27e-06,0.1570,0.14,
72,0,0.490768,0.001463,0.492230,9.24e-06,0.0519,0.17,
73,0,0.485995,0.001465,0.487459,9.21e-06,0.0696,0.17,
74,0,0.483363,0.001468,0.484831,9.17e-06,0.0527,0.16,
75,0,0.483735,0.001470,0.485204,9.14e-06,0.0642,0.16,
76,0,0.484998,0.001471,0.486469,9.10e-06,0.0665,0.16,
77,0,0.478991,0.001473,0.480465,9.07e-06,0.0480,0.15,
78,0,0.481215,0.001477,0.482692,9.03e-06,0.0519,0.15,
79,0,0.478852,0.001481,0.480333,8.99e-06,0.0615,0.15,
80,0,0.488259,0.001483,0.489742,8.96e-06,0.0565,0.15,
81,0,0.487191,0.001483,0.488674,8.92e-06,0.0502,0.16,
82,0,0.483964,0.001482,0.485445,8.88e-06,0.0486,0.17,
83,0,0.469607,0.001481,0.471088,8.84e-06,0.0620,0.15,
83,0,,,,,,,1.631046
84,0,0.476306,0.001478,0.477783,8.80e-06,0.0891,0.04,
85,0,0.479421,0.001473,0.480894,8.76e-06,0.0576,0.16,
86,0,0.473505,0.001468,0.474972,8.72e-06,0.1029,0.15,
87,0,0.475900,0.001463,0.477362,8.68e-06,0.0611,0.15,
88,0,0.487957,0.001458,0.489415,8.63e-06,0.0615,0.15,
89,0,0.482252,0.001455,0.483707,8.59e-06,0.0636,0.15,
90,0,0.472519,0.001452,0.473971,8.55e-06,0.0688,0.16,
91,0,0.484566,0.001448,0.486014,8.50e-06,0.0604,0.15,
92,0,0.492611,0.001446,0.494057,8.46e-06,0.0718,0.16,
93,0,0.479388,0.001445,0.480833,8.41e-06,0.0590,0.16,
94,0,0.482402,0.001443,0.483845,8.37e-06,0.0543,0.16,
95,0,0.480888,0.001443,0.482331,8.32e-06,0.0488,0.14,
96,0,0.480571,0.001444,0.482014,8.27e-06,0.0547,0.15,
97,0,0.479582,0.001444,0.481025,8.23e-06,0.0490,0.15,
98,0,0.482977,0.001442,0.484419,8.18e-06,0.0789,0.15,
99,0,0.477207,0.001441,0.478648,8.13e-06,0.0419,0.15,
100,0,0.477008,0.001439,0.478447,8.08e-06,0.0485,0.13,
101,0,0.482323,0.001437,0.483760,8.03e-06,0.0480,0.14,
102,0,0.489954,0.001432,0.491386,7.98e-06,0.0522,0.14,
103,0,0.488921,0.001426,0.490347,7.93e-06,0.0855,0.15,
104,0,0.484520,0.001420,0.485939,7.88e-06,0.0537,0.15,
105,0,0.478049,0.001414,0.479463,7.83e-06,0.0624,0.14,
106,0,0.478915,0.001409,0.480324,7.78e-06,0.0506,0.14,
107,0,0.486701,0.001403,0.488105,7.73e-06,0.0477,0.15,
108,0,0.491972,0.001399,0.493371,7.68e-06,0.0524,0.15,
109,0,0.489334,0.001394,0.490728,7.62e-06,0.0509,0.16,
110,0,0.487458,0.001390,0.488848,7.57e-06,0.0457,0.15,
111,0,0.483917,0.001386,0.485302,7.52e-06,0.0527,0.14,
111,0,,,,,,,1.632019
112,0,0.480337,0.001380,0.481718,7.46e-06,0.1537,0.04,
113,0,0.488404,0.001376,0.489779,7.41e-06,0.0529,0.17,
114,0,0.480650,0.001372,0.482022,7.36e-06,0.1106,0.16,
115,0,0.480577,0.001369,0.481946,7.30e-06,0.0455,0.15,
116,0,0.486684,0.001366,0.488050,7.25e-06,0.0501,0.15,
117,0,0.482817,0.001364,0.484181,7.19e-06,0.0649,0.15,
118,0,0.485657,0.001361,0.487018,7.13e-06,0.0467,0.18,
119,0,0.477026,0.001359,0.478385,7.08e-06,0.0559,0.16,
120,0,0.483155,0.001355,0.484510,7.02e-06,0.0502,0.16,
121,0,0.485783,0.001351,0.487134,6.96e-06,0.1653,0.16,
122,0,0.485453,0.001347,0.486800,6.91e-06,0.1033,0.16,
123,0,0.482735,0.001344,0.484080,6.85e-06,0.0462,0.16,
124,0,0.474093,0.001342,0.475435,6.79e-06,0.0538,0.15,
125,0,0.478360,0.001340,0.479700,6.73e-06,0.0658,0.15,
126,0,0.479687,0.001337,0.481024,6.67e-06,0.1146,0.15,
127,0,0.478017,0.001335,0.479351,6.62e-06,0.0620,0.15,
128,0,0.481882,0.001332,0.483214,6.56e-06,0.0523,0.15,
129,0,0.480000,0.001330,0.481329,6.50e-06,0.0635,0.15,
130,0,0.476988,0.001327,0.478315,6.44e-06,0.0540,0.16,
131,0,0.485044,0.001324,0.486368,6.38e-06,0.0529,0.15,
132,0,0.479618,0.001321,0.480940,6.32e-06,0.0497,0.15,
133,0,0.476974,0.001318,0.478293,6.26e-06,0.0507,0.15,
134,0,0.475791,0.001314,0.477105,6.20e-06,0.0739,0.15,
135,0,0.478804,0.001309,0.480114,6.14e-06,0.0725,0.15,
136,0,0.489573,0.001304,0.490877,6.08e-06,0.0500,0.15,
137,0,0.481210,0.001298,0.482507,6.02e-06,0.0679,0.15,
138,0,0.474225,0.001291,0.475516,5.96e-06,0.0677,0.13,
139,0,0.484055,0.001284,0.485339,5.90e-06,0.0529,0.14,
139,0,,,,,,,1.633775
140,0,0.483068,0.001277,0.484345,5.83e-06,0.0483,0.04,
141,0,0.483299,0.001271,0.484570,5.77e-06,0.0520,0.16,
142,0,0.481056,0.001265,0.482321,5.71e-06,0.0452,0.15,
143,0,0.486534,0.001260,0.487794,5.65e-06,0.0605,0.15,
144,0,0.488477,0.001255,0.489732,5.59e-06,0.0518,0.15,
145,0,0.490271,0.001250,0.491521,5.53e-06,0.0469,0.16,
146,0,0.482380,0.001245,0.483625,5.46e-06,0.0392,0.14,
