step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.497493,0.000000,0.497493,9.80e-08,1.4229,0.02,
1,0,0.496338,0.000000,0.496338,1.96e-07,1.3409,0.05,
2,0,0.498473,0.000000,0.498473,2.94e-07,1.3665,0.05,
3,0,0.492470,0.000000,0.492470,3.92e-07,1.5544,0.04,
4,0,0.494574,0.000000,0.494575,4.90e-07,1.4707,0.04,
5,0,0.493533,0.000000,0.493533,5.88e-07,1.2726,0.05,
6,0,0.494784,0.000001,0.494785,6.86e-07,1.1722,0.05,
7,0,0.494370,0.000001,0.494371,7.84e-07,1.2119,0.05,
8,0,0.494406,0.000002,0.494407,8.82e-07,1.0682,0.05,
9,0,0.496082,0.000003,0.496085,9.80e-07,0.9903,0.05,
10,0,0.490481,0.000004,0.490485,1.08e-06,1.0037,0.05,
11,0,0.489102,0.000006,0.489108,1.18e-06,0.6989,0.05,
12,0,0.494958,0.000008,0.494965,1.27e-06,0.5914,0.05,
13,0,0.489280,0.000010,0.489290,1.37e-06,0.6144,0.05,
14,0,0.490349,0.000013,0.490362,1.47e-06,0.5534,0.05,
15,0,0.492067,0.000017,0.492084,1.57e-06,0.5274,0.05,
16,0,0.488052,0.000021,0.488073,1.67e-06,0.4664,0.05,
17,0,0.489425,0.000025,0.489450,1.76e-06,0.3418,0.05,
18,0,0.489776,0.000030,0.489806,1.86e-06,0.2815,0.05,
19,0,0.486666,0.000035,0.486702,1.96e-06,0.2652,0.05,
20,0,0.489741,0.000041,0.489782,2.06e-06,0.3741,0.05,
21,0,0.496363,0.000046,0.496409,2.16e-06,0.3381,0.05,
22,0,0.485821,0.000053,0.485873,2.25e-06,0.2888,0.05,
23,0,0.485920,0.000059,0.485979,2.35e-06,0.2415,0.04,
24,0,0.483913,0.000065,0.483978,2.45e-06,0.1932,0.04,
25,0,0.490385,0.000072,0.490457,2.55e-06,0.1692,0.05,
26,0,0.488534,0.000079,0.488613,2.65e-06,0.1756,0.05,
27,0,0.489157,0.000086,0.489242,2.75e-06,0.1519,0.05,
28,0,0.485285,0.000093,0.485377,2.84e-06,0.1462,0.05,
29,0,0.486700,0.000099,0.486800,2.94e-06,0.1251,0.05,
30,0,0.484059,0.000106,0.484165,3.04e-06,0.1568,0.05,
31,0,0.489520,0.000113,0.489633,3.14e-06,0.0909,0.05,
32,0,0.482850,0.000120,0.482969,3.24e-06,0.1070,0.05,
33,0,0.486930,0.000127,0.487056,3.33e-06,0.0649,0.05,
34,0,0.485152,0.000134,0.485285,3.43e-06,0.0806,0.05,
35,0,0.487788,0.000141,0.487930,3.53e-06,0.0838,0.05,
36,0,0.492374,0.000149,0.492523,3.63e-06,0.0655,0.05,
37,0,0.490945,0.000158,0.491102,3.73e-06,0.0689,0.05,
38,0,0.488472,0.000167,0.488639,3.82e-06,0.0624,0.05,
39,0,0.486136,0.000176,0.486312,3.92e-06,0.0525,0.05,
40,0,0.486126,0.000185,0.486311,4.02e-06,0.0668,0.05,
41,0,0.488547,0.000195,0.488741,4.12e-06,0.0669,0.05,
42,0,0.484978,0.000204,0.485182,4.22e-06,0.0606,0.04,
43,0,0.490475,0.000213,0.490688,4.31e-06,0.0486,0.05,
44,0,0.485888,0.000223,0.486111,4.41e-06,0.0486,0.05,
45,0,0.487095,0.000232,0.487327,4.51e-06,0.0460,0.04,
46,0,0.482864,0.000242,0.483106,4.61e-06,0.0598,0.04,
47,0,0.484764,0.000251,0.485015,4.71e-06,0.0505,0.05,
48,0,0.485480,0.000260,0.485741,4.80e-06,0.0473,0.05,
49,0,0.481377,0.000269,0.481646,4.90e-06,0.0568,0.04,
50,0,0.480365,0.000278,0.480643,5.00e-06,0.0530,0.04,
51,0,0.480605,0.000288,0.480893,5.10e-06,0.0485,0.05,
52,0,0.485611,0.000297,0.485908,5.20e-06,0.0490,0.05,
53,0,0.482508,0.000306,0.482814,5.29e-06,0.0371,0.04,
54,0,0.482318,0.000315,0.482633,5.39e-06,0.0436,0.05,
55,0,0.485827,0.000324,0.486151,5.49e-06,0.0413,0.05,
