step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
0,0,1.641776,0.000000,1.641776,1.25e-06,1.3264,0.02
1,0,1.633718,0.000000,1.633718,2.50e-06,1.4316,0.04
2,0,1.640435,0.000000,1.640435,3.75e-06,1.0941,0.04
3,0,1.650640,0.000000,1.650640,5.00e-06,1.5102,0.05
4,0,1.670285,0.000000,1.670285,6.25e-06,1.8303,0.05
5,0,1.656965,0.000000,1.656965,7.50e-06,1.3794,0.05
6,0,1.608292,0.000000,1.608292,8.75e-06,0.4477,0.05
7,0,1.588579,0.000000,1.588579,1.00e-05,0.5582,0.05
8,0,1.593949,0.000000,1.593949,1.00e-05,0.4774,0.03
9,0,1.594230,0.000000,1.594230,9.98e-06,0.3569,0.04
10,0,1.579764,0.000000,1.579764,9.96e-06,0.4292,0.05
11,0,1.560603,0.000000,1.560603,9.92e-06,0.5307,0.05
12,0,1.561928,0.000000,1.561928,9.88e-06,0.3022,0.05
13,0,1.549525,0.000000,1.549525,9.83e-06,0.2388,0.05
14,0,1.556544,0.000000,1.556544,9.77e-06,0.1750,0.05
15,0,1.596111,0.000000,1.596111,9.70e-06,0.2055,0.05
16,0,1.573849,0.000000,1.573849,9.62e-06,0.1365,0.03
17,0,1.559819,0.000000,1.559819,9.53e-06,0.1396,0.04
18,0,1.560945,0.000000,1.560945,9.44e-06,0.1062,0.04
19,0,1.568253,0.000000,1.568253,9.33e-06,0.1123,0.05
20,0,1.566347,0.000000,1.566347,9.22e-06,0.1113,0.05
21,0,1.542981,0.000000,1.542981,9.10e-06,0.1196,0.05
22,0,1.514222,0.000000,1.514222,8.97e-06,0.1345,0.05
23,0,1.544193,0.000000,1.544193,8.83e-06,0.1427,0.04
24,0,1.559490,0.000000,1.559490,8.69e-06,0.0914,0.03
25,0,1.557638,0.000000,1.557638,8.54e-06,0.1036,0.04
26,0,1.559694,0.000000,1.559694,8.38e-06,0.1033,0.04
27,0,1.551564,0.000000,1.551564,8.21e-06,0.0926,0.04
28,0,1.564156,0.000000,1.564156,8.04e-06,0.0926,0.04
29,0,1.557963,0.000000,1.557963,7.87e-06,0.0878,0.05
30,0,1.543585,0.000000,1.543585,7.69e-06,0.0975,0.04
31,0,1.539622,0.000000,1.539622,7.50e-06,0.1063,0.04
32,0,1.550607,0.000000,1.550607,7.31e-06,0.0962,0.03
33,0,1.543893,0.000000,1.543893,7.11e-06,0.0962,0.04
34,0,1.560723,0.000000,1.560723,6.91e-06,0.0885,0.04
35,0,1.547337,0.000000,1.547337,6.71e-06,0.0839,0.05
36,0,1.537981,0.000000,1.537981,6.50e-06,0.0974,0.05
37,0,1.557445,0.000000,1.557445,6.29e-06,0.0770,0.05
38,0,1.541823,0.000000,1.541823,6.08e-06,0.0783,0.04
39,0,1.531554,0.000000,1.531554,5.87e-06,0.0770,0.04
40,0,1.508864,0.000000,1.508864,5.65e-06,0.1165,0.03
41,0,1.544075,0.000000,1.544075,5.44e-06,0.0803,0.05
42,0,1.536495,0.000000,1.536495,5.22e-06,0.0881,0.04
43,0,1.545084,0.000000,1.545084,5.00e-06,0.0964,0.04
44,0,1.558952,0.000000,1.558952,4.78e-06,0.1069,0.05
45,0,1.569730,0.000000,1.569730,4.56e-06,0.0806,0.04
46,0,1.552329,0.000000,1.552329,4.35e-06,0.0826,0.04
47,0,1.529436,0.000000,1.529436,4.13e-06,0.0930,0.04
48,0,1.534040,0.000000,1.534040,3.92e-06,0.0951,0.03
49,0,1.529073,0.000000,1.529073,3.71e-06,0.0909,0.04
50,0,1.531377,0.000000,1.531377,3.50e-06,0.0608,0.04
51,0,1.527535,0.000000,1.527535,3.29e-06,0.0849,0.05
52,0,1.529855,0.000000,1.529855,3.09e-06,0.1080,0.05
53,0,1.528812,0.000000,1.528812,2.89e-06,0.0782,0.04
54,0,1.539662,0.000000,1.539662,2.69e-06,0.0759,0.04
55,0,1.551276,0.000000,1.551276,2.50e-06,0.0803,0.05
56,0,1.519116,0.000000,1.519116,2.31e-06,0.0848,0.03
57,0,1.542755,0.000000,1.542755,2.13e-06,0.1116,0.05
58,0,1.494630,0.000000,1.494630,1.96e-06,0.1206,0.04
59,0,1.529818,0.000000,1.529818,1.79e-06,0.0793,0.04
60,0,1.527514,0.000000,1.527514,1.62e-06,0.1276,0.04
61,0,1.519407,0.000000,1.519407,1.46e-06,1.2527,0.04
62,0,1.549101,0.000000,1.549101,1.31e-06,0.0831,0.04
63,0,1.533804,0.000000,1.533804,1.17e-06,0.0804,0.04
64,0,1.518195,0.000000,1.518195,1.03e-06,0.0702,0.03
65,0,1.536541,0.000000,1.536541,9.04e-07,0.5734,0.04
66,0,1.527920,0.000000,1.527920,7.83e-07,0.0737,0.04
67,0,1.528170,0.000000,1.528170,6.70e-07,0.0693,0.04
68,0,1.525297,0.000000,1.525297,5.65e-07,0.0805,0.04
69,0,1.510594,0.000000,1.510594,4.68e-07,0.0744,0.04
70,0,1.498574,0.000000,1.498574,3.81e-07,0.0745,0.04
71,0,1.510689,0.000000,1.510689,3.02e-07,0.0773,0.04
72,0,1.529307,0.000000,1.529307,2.31e-07,0.0741,0.03
73,0,1.508414,0.000000,1.508414,1.70e-07,0.0785,0.04
74,0,1.524737,0.000000,1.524737,1.19e-07,0.0560,0.04
75,0,1.525813,0.000000,1.525813,1.00e-07,0.0814,0.05
76,0,1.536227,0.000000,1.536227,1.00e-07,0.0788,0.05
77,0,1.526516,0.000000,1.526516,1.00e-07,0.0706,0.04
78,0,1.546705,0.000000,1.546705,1.00e-07,0.2085,0.04
79,0,1.553139,0.000000,1.553139,1.00e-07,0.0909,0.05
