step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
0,0,1.632610,0.000000,1.632610,1.25e-06,1.5676,0.02
1,0,1.632974,0.000000,1.632974,2.50e-06,1.3808,0.05
2,0,1.636352,0.000008,1.636359,3.75e-06,1.6769,0.04
3,0,1.646660,0.000056,1.646716,5.00e-06,1.8864,0.04
4,0,1.672038,0.000188,1.672226,6.25e-06,1.6813,0.04
5,0,1.653960,0.000451,1.654412,7.50e-06,1.2527,0.04
6,0,1.611709,0.000892,1.612601,8.75e-06,0.3846,0.04
7,0,1.577635,0.001501,1.579136,1.00e-05,0.5159,0.04
8,0,1.593539,0.002234,1.595773,1.00e-05,0.3886,0.03
9,0,1.594534,0.003024,1.597557,9.98e-06,0.4399,0.04
10,0,1.579561,0.003644,1.583205,9.96e-06,0.6368,0.04
11,0,1.560042,0.004070,1.564112,9.92e-06,0.3930,0.05
12,0,1.547769,0.004351,1.552120,9.88e-06,0.2687,0.04
13,0,1.551765,0.004513,1.556278,9.83e-06,0.1827,0.04
14,0,1.550666,0.004612,1.555278,9.77e-06,0.1649,0.04
15,0,1.598931,0.004643,1.603575,9.70e-06,0.1870,0.05
16,0,1.573018,0.004613,1.577631,9.62e-06,0.1482,0.03
17,0,1.562029,0.004548,1.566577,9.53e-06,0.1242,0.04
18,0,1.562262,0.004471,1.566733,9.44e-06,0.1190,0.04
19,0,1.566557,0.004393,1.570950,9.33e-06,0.1142,0.04
20,0,1.565803,0.004321,1.570124,9.22e-06,0.1140,0.04
21,0,1.540462,0.004244,1.544706,9.10e-06,0.1316,0.04
22,0,1.527985,0.004159,1.532145,8.97e-06,0.1358,0.04
23,0,1.541744,0.004070,1.545813,8.83e-06,0.1127,0.04
24,0,1.559093,0.003976,1.563069,8.69e-06,0.0943,0.03
25,0,1.559264,0.003884,1.563148,8.54e-06,0.1623,0.04
26,0,1.552754,0.003799,1.556553,8.38e-06,0.0941,0.04
27,0,1.548640,0.003705,1.552345,8.21e-06,0.0973,0.04
28,0,1.563461,0.003605,1.567065,8.04e-06,0.0972,0.04
29,0,1.558811,0.003504,1.562314,7.87e-06,0.0915,0.04
30,0,1.547474,0.003405,1.550879,7.69e-06,0.0884,0.04
31,0,1.547883,0.003307,1.551191,7.50e-06,0.0902,0.04
32,0,1.548637,0.003211,1.551848,7.31e-06,0.0829,0.03
33,0,1.549817,0.003116,1.552934,7.11e-06,0.0836,0.04
34,0,1.555780,0.003023,1.558802,6.91e-06,0.0835,0.04
35,0,1.551064,0.002933,1.553998,6.71e-06,0.1106,0.04
36,0,1.534560,0.002840,1.537400,6.50e-06,0.1053,0.04
37,0,1.549309,0.002753,1.552062,6.29e-06,0.0906,0.04
38,0,1.538408,0.002676,1.541084,6.08e-06,0.0796,0.04
39,0,1.526678,0.002609,1.529287,5.87e-06,0.0771,0.04
40,0,1.508683,0.002548,1.511231,5.65e-06,0.1056,0.03
41,0,1.550367,0.002489,1.552856,5.44e-06,0.0948,0.05
42,0,1.533302,0.002437,1.535738,5.22e-06,0.1003,0.04
43,0,1.535249,0.002387,1.537636,5.00e-06,0.0857,0.04
44,0,1.545808,0.002338,1.548146,4.78e-06,0.0847,0.04
45,0,1.571121,0.002292,1.573413,4.56e-06,0.0977,0.04
46,0,1.559821,0.002257,1.562077,4.35e-06,0.0897,0.04
47,0,1.535201,0.002224,1.537425,4.13e-06,0.0870,0.04
48,0,1.531172,0.002190,1.533363,3.92e-06,0.1020,0.03
49,0,1.522420,0.002154,1.524574,3.71e-06,0.0780,0.04
50,0,1.533742,0.002118,1.535860,3.50e-06,0.0889,0.04
51,0,1.512471,0.002083,1.514554,3.29e-06,0.1183,0.04
52,0,1.535889,0.002048,1.537937,3.09e-06,0.1005,0.04
53,0,1.526910,0.002018,1.528928,2.89e-06,0.1080,0.04
54,0,1.541350,0.001989,1.543338,2.69e-06,0.0767,0.04
55,0,1.552296,0.001961,1.554257,2.50e-06,0.0847,0.04
56,0,1.522947,0.001933,1.524880,2.31e-06,0.0737,0.03
57,0,1.536843,0.001905,1.538748,2.13e-06,0.1031,0.04
58,0,1.494965,0.001876,1.496842,1.96e-06,0.0858,0.04
59,0,1.528845,0.001849,1.530694,1.79e-06,0.0706,0.04
60,0,1.528127,0.001822,1.529949,1.62e-06,0.0742,0.04
61,0,1.518945,0.001797,1.520743,1.46e-06,0.5763,0.04
62,0,1.549946,0.001775,1.551721,1.31e-06,0.0910,0.04
63,0,1.532803,0.001755,1.534557,1.17e-06,0.0818,0.04
64,0,1.522170,0.001736,1.523906,1.03e-06,0.0805,0.03
65,0,1.536410,0.001718,1.538128,9.04e-07,0.9971,0.05
66,0,1.524052,0.001703,1.525755,7.83e-07,0.0749,0.04
67,0,1.525407,0.001689,1.527096,6.70e-07,0.0741,0.04
68,0,1.520458,0.001677,1.522134,5.65e-07,0.0869,0.04
69,0,1.520371,0.001667,1.522038,4.68e-07,0.1030,0.04
70,0,1.503985,0.001658,1.505643,3.81e-07,0.0776,0.04
71,0,1.517165,0.001650,1.518816,3.02e-07,0.0872,0.04
72,0,1.529007,0.001644,1.530651,2.31e-07,0.0779,0.03
73,0,1.521611,0.001639,1.523250,1.70e-07,0.0856,0.05
74,0,1.521713,0.001635,1.523348,1.19e-07,0.0746,0.04
75,0,1.514006,0.001631,1.515638,1.00e-07,0.0809,0.05
76,0,1.536643,0.001629,1.538272,1.00e-07,0.0904,0.04
77,0,1.527636,0.001627,1.529263,1.00e-07,0.1450,0.04
78,0,1.540981,0.001625,1.542606,1.00e-07,0.0743,0.04
79,0,1.548300,0.001623,1.549923,1.00e-07,0.0943,0.05
