step,stage,loss_jepa,loss_masked,loss_context,lr,grad_norm
0,stage1_layout,0.489528,0.359316,0.260424,2.22e-07,2.2799
1,stage1_layout,0.498348,0.365561,0.265575,3.33e-07,2.5396
2,stage1_layout,0.496086,0.362224,0.267724,4.44e-07,4.1637
3,stage1_layout,0.490169,0.358674,0.262991,5.56e-07,2.1782
4,stage1_layout,0.482467,0.353558,0.257819,6.67e-07,1.3847
5,stage1_layout,0.487256,0.356438,0.261637,7.78e-07,1.7127
6,stage1_layout,0.491017,0.359838,0.262359,8.89e-07,2.9963
7,stage1_layout,0.499415,0.365050,0.268729,1.00e-06,3.1517
8,stage1_layout,0.499682,0.365586,0.268193,1.00e-06,3.6233
9,stage1_layout,0.498861,0.362735,0.272252,1.00e-06,3.6575
10,stage1_layout,0.490802,0.359543,0.262518,1.00e-06,1.3097
11,stage1_layout,0.488073,0.356187,0.263771,1.00e-06,1.4888
12,stage1_layout,0.489764,0.359010,0.261509,1.00e-06,1.1943
13,stage1_layout,0.490429,0.358425,0.264008,1.00e-06,2.1507
14,stage1_layout,0.488484,0.357060,0.262847,1.00e-06,1.3997
15,stage1_layout,0.481325,0.351565,0.259519,1.00e-06,0.9491
16,stage1_layout,0.493877,0.360954,0.265847,1.00e-06,1.0267
17,stage1_layout,0.484724,0.354007,0.261435,1.00e-06,1.1073
18,stage1_layout,0.493623,0.360461,0.266324,1.00e-06,1.5007
19,stage1_layout,0.493996,0.361582,0.264829,1.00e-06,1.0983
20,stage1_layout,0.486602,0.356123,0.260958,1.00e-06,1.5786
21,stage1_layout,0.481238,0.351643,0.259191,1.00e-06,0.8794
22,stage1_layout,0.500619,0.365301,0.270636,1.00e-06,1.3480
23,stage1_layout,0.498315,0.363526,0.269578,1.00e-06,1.6272
24,stage1_layout,0.491378,0.360534,0.261687,1.00e-06,0.6309
25,stage1_layout,0.490252,0.359116,0.262272,1.00e-06,0.5858
26,stage1_layout,0.491769,0.358845,0.265848,1.00e-06,0.8546
27,stage1_layout,0.490315,0.358857,0.262916,1.00e-06,0.8264
28,stage1_layout,0.488473,0.356278,0.264391,1.00e-06,0.8519
29,stage1_layout,0.495451,0.362028,0.266845,1.00e-06,0.9669
30,stage1_layout,0.476292,0.347842,0.256901,1.00e-06,0.6281
31,stage1_layout,0.482207,0.352242,0.259930,1.00e-06,0.5688
32,stage1_layout,0.479629,0.350038,0.259183,1.00e-06,0.5412
33,stage1_layout,0.491811,0.358937,0.265749,1.00e-06,0.6947
34,stage1_layout,0.490453,0.358282,0.264341,1.00e-06,0.6388
35,stage1_layout,0.493099,0.358756,0.268686,1.00e-06,1.1799
36,stage1_layout,0.485794,0.355082,0.261423,1.00e-06,0.6255
37,stage1_layout,0.486476,0.356251,0.260449,1.00e-06,0.4694
38,stage1_layout,0.478182,0.349586,0.257192,1.00e-06,0.5119
39,stage1_layout,0.489056,0.356618,0.264875,1.00e-06,0.8075
40,stage1_layout,0.481178,0.351017,0.260324,1.00e-06,0.5543
41,stage1_layout,0.492342,0.359345,0.265995,1.00e-06,0.6475
42,stage1_layout,0.488129,0.356775,0.262709,1.00e-06,0.5179
43,stage1_layout,0.499719,0.365043,0.269353,1.00e-06,1.1045
44,stage1_layout,0.492074,0.358849,0.266450,1.00e-06,0.9812
45,stage1_layout,0.486912,0.355965,0.261895,1.00e-06,0.5373
46,stage2_agent,0.481781,0.350821,0.261921,2.22e-07,0.8508
47,stage2_agent,0.472258,0.342711,0.259095,3.33e-07,0.4775
48,stage2_agent,0.479853,0.349629,0.260448,4.44e-07,0.3822
49,stage2_agent,0.482965,0.351531,0.262867,5.56e-07,0.3340
50,stage2_agent,0.471949,0.342536,0.258826,6.67e-07,0.3926
51,stage2_agent,0.485063,0.351946,0.266233,7.78e-07,0.6660
52,stage2_agent,0.483561,0.350209,0.266706,8.89e-07,0.4969
53,stage2_agent,0.475293,0.345443,0.259702,1.00e-06,0.3299
54,stage2_agent,0.476444,0.346910,0.259069,1.00e-06,0.3987
55,stage2_agent,0.472342,0.343078,0.258529,1.00e-06,0.4295
56,stage2_agent,0.484290,0.351223,0.266135,1.00e-06,0.4879
57,stage2_agent,0.484075,0.350762,0.266625,1.00e-06,0.5817
58,stage2_agent,0.486560,0.352066,0.268989,1.00e-06,0.4537
59,stage2_agent,0.479776,0.347943,0.263667,1.00e-06,0.2665
60,stage2_agent,0.473341,0.343970,0.258742,1.00e-06,0.7636
61,stage2_agent,0.483808,0.350312,0.266991,1.00e-06,0.3823
62,stage2_agent,0.476235,0.344899,0.262672,1.00e-06,0.4732
63,stage2_agent,0.483696,0.351576,0.264241,1.00e-06,0.2908
64,stage2_agent,0.480789,0.349351,0.262878,1.00e-06,0.5679
65,stage2_agent,0.474656,0.344270,0.260772,1.00e-06,0.3035
66,stage2_agent,0.468017,0.340547,0.254940,1.00e-06,0.4184
67,stage2_agent,0.475646,0.345684,0.259924,1.00e-06,0.2269
68,stage2_agent,0.476522,0.345932,0.261179,1.00e-06,0.3200
69,stage2_agent,0.487602,0.353347,0.268511,1.00e-06,0.7436
70,stage2_agent,0.475321,0.346425,0.257793,1.00e-06,0.4397
71,stage2_agent,0.470748,0.342606,0.256285,1.00e-06,0.2618
72,stage2_agent,0.472996,0.344021,0.257951,1.00e-06,0.4590
73,stage2_agent,0.475900,0.344996,0.261808,1.00e-06,0.2804
74,stage2_agent,0.470138,0.341806,0.256664,1.00e-06,0.3013
75,stage2_agent,0.473765,0.345093,0.257343,1.00e-06,0.2706
76,stage2_agent,0.476621,0.346664,0.259914,1.00e-06,0.2492
77,stage2_agent,0.469844,0.341187,0.257313,1.00e-06,0.3483
78,stage2_agent,0.475751,0.346224,0.259053,1.00e-06,0.3873
79,stage2_agent,0.474500,0.344654,0.259692,1.00e-06,0.2875
80,stage2_agent,0.468492,0.340662,0.255660,1.00e-06,0.3148
81,stage2_agent,0.482542,0.350009,0.265066,1.00e-06,0.4764
82,stage2_agent,0.470470,0.342238,0.256464,1.00e-06,0.2644
83,stage2_agent,0.474253,0.345514,0.257480,1.00e-06,0.3452
84,stage2_agent,0.480456,0.349921,0.261071,1.00e-06,0.2783
85,stage2_agent,0.476279,0.345510,0.261537,1.00e-06,0.3023
