step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.465547,0.000000,0.465547,2.00e-06,2.6611,0.03,
1,0,0.472832,0.000000,0.472832,4.00e-06,2.1472,0.05,
2,0,0.471383,0.000000,0.471383,6.00e-06,1.0645,0.06,
3,0,0.462496,0.000000,0.462496,8.00e-06,1.5315,0.06,
4,0,0.467277,0.000000,0.467277,1.00e-05,0.6244,0.05,
5,0,0.471226,0.000000,0.471226,9.99e-06,0.4424,0.03,
6,0,0.471392,0.000000,0.471392,9.96e-06,0.3738,0.06,
7,0,0.467836,0.000000,0.467836,9.91e-06,0.3563,0.06,
8,0,0.463179,0.000000,0.463179,9.85e-06,0.2147,0.06,
9,0,0.463340,0.000000,0.463340,9.76e-06,0.2730,0.05,
10,0,0.464540,0.000000,0.464540,9.66e-06,0.1645,0.03,
11,0,0.466046,0.000000,0.466046,9.54e-06,0.1549,0.06,
12,0,0.465598,0.000000,0.465598,9.41e-06,0.1069,0.06,
13,0,0.463997,0.000000,0.463997,9.25e-06,0.0849,0.06,
14,0,0.471910,0.000000,0.471910,9.08e-06,0.0605,0.06,
15,0,0.459183,0.000000,0.459183,8.90e-06,0.0893,0.03,
16,0,0.468503,0.000000,0.468503,8.70e-06,0.1018,0.06,
17,0,0.466366,0.000000,0.466366,8.48e-06,0.0679,0.06,
18,0,0.453475,0.000000,0.453475,8.25e-06,0.0798,0.06,
19,0,0.477974,0.000000,0.477974,8.01e-06,0.0673,0.06,
20,0,0.460566,0.000000,0.460566,7.76e-06,0.0595,0.03,
21,0,0.466527,0.000000,0.466527,7.50e-06,0.0881,0.06,
22,0,0.464999,0.000000,0.464999,7.23e-06,0.0633,0.06,
23,0,0.462409,0.000000,0.462409,6.95e-06,0.0908,0.06,
24,0,0.457504,0.000000,0.457504,6.66e-06,0.0544,0.05,
25,0,0.465732,0.000000,0.465732,6.37e-06,0.0749,0.03,
26,0,0.466365,0.000000,0.466365,6.07e-06,0.0658,0.06,
27,0,0.465009,0.000000,0.465009,5.77e-06,0.0510,0.06,
28,0,0.472179,0.000000,0.472179,5.46e-06,0.4195,0.05,
29,0,0.468043,0.000000,0.468043,5.15e-06,0.0475,0.05,
30,0,0.463724,0.000000,0.463724,4.85e-06,0.0433,0.03,
31,0,0.468358,0.000000,0.468358,4.54e-06,0.0602,0.06,
32,0,0.464320,0.000000,0.464320,4.23e-06,0.0548,0.05,
33,0,0.462271,0.000000,0.462271,3.93e-06,0.0512,0.05,
34,0,0.464183,0.000000,0.464183,3.63e-06,0.0468,0.06,
35,0,0.473301,0.000000,0.473301,3.34e-06,0.0488,0.03,
36,0,0.482004,0.000000,0.482004,3.05e-06,0.0550,0.07,
37,0,0.460100,0.000000,0.460100,2.77e-06,0.0520,0.06,
38,0,0.466157,0.000000,0.466157,2.50e-06,0.0588,0.06,
39,0,0.455380,0.000000,0.455380,2.24e-06,0.0503,0.05,
40,0,0.461384,0.000000,0.461384,1.99e-06,0.0500,0.03,
41,0,0.460062,0.000000,0.460062,1.75e-06,0.0520,0.05,
42,0,0.460243,0.000000,0.460243,1.52e-06,0.0506,0.05,
43,0,0.462916,0.000000,0.462916,1.30e-06,0.0615,0.06,
44,0,0.471866,0.000000,0.471866,1.10e-06,0.1015,0.06,
45,0,0.469385,0.000000,0.469385,9.19e-07,0.0541,0.03,
46,0,0.462154,0.000000,0.462154,7.49e-07,0.0586,0.05,
47,0,0.478135,0.000000,0.478135,5.95e-07,0.0538,0.05,
48,0,0.472360,0.000000,0.472360,4.58e-07,0.0647,0.05,
49,0,0.478573,0.000000,0.478573,3.38e-07,0.0672,0.06,
50,0,0.467083,0.000000,0.467083,2.35e-07,0.0518,0.03,
51,0,0.469542,0.000000,0.469542,1.51e-07,0.0582,0.06,
52,0,0.461561,0.000000,0.461561,1.00e-07,0.0738,0.06,
53,0,0.467533,0.000000,0.467533,1.00e-07,0.0680,0.06,
54,0,0.468946,0.000000,0.468946,1.00e-07,0.0726,0.06,
55,0,0.474464,0.000000,0.474464,1.00e-07,0.0680,0.03,
