step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
0,0,0.465547,0.000000,0.465547,2.00e-06,2.6612,0.03,
1,0,0.468266,0.000000,0.468266,4.00e-06,2.7006,0.05,
2,0,0.457913,0.000002,0.457915,6.00e-06,2.5256,0.05,
3,0,0.458005,0.000011,0.458016,8.00e-06,1.4077,0.05,
4,0,0.459760,0.000034,0.459794,1.00e-05,0.7877,0.05,
5,0,0.471479,0.000078,0.471557,9.99e-06,0.3906,0.04,
6,0,0.472979,0.000155,0.473134,9.96e-06,0.3379,0.05,
7,0,0.466610,0.000245,0.466855,9.91e-06,0.3733,0.05,
8,0,0.462223,0.000334,0.462557,9.85e-06,0.2168,0.05,
9,0,0.462774,0.000425,0.463199,9.76e-06,0.3345,0.05,
10,0,0.457425,0.000509,0.457935,9.66e-06,0.2824,0.04,
