step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
0,0,0.494626,0.000000,0.494626,5.00e-06,1.8010,0.08
1,0,0.502154,0.000000,0.502154,1.00e-05,1.7898,0.11
2,0,0.489095,0.000000,0.489095,9.96e-06,1.0166,0.07
3,0,0.490747,0.000000,0.490747,9.85e-06,1.3055,0.18
4,0,0.489724,0.000000,0.489724,9.68e-06,0.2037,0.07
5,0,0.489203,0.000000,0.489203,9.43e-06,0.3165,0.09
6,0,0.490855,0.000000,0.490855,9.11e-06,0.1856,0.04
7,0,0.490265,0.000000,0.490265,8.74e-06,0.1638,0.07
8,0,0.486933,0.000000,0.486933,8.32e-06,0.1462,0.03
9,0,0.488372,0.000000,0.488372,7.84e-06,0.1095,0.06
10,0,0.490941,0.000000,0.490941,7.32e-06,0.0661,0.03
11,0,0.496283,0.000000,0.496283,6.77e-06,0.0738,0.06
12,0,0.484916,0.000000,0.484916,6.20e-06,0.0796,0.04
13,0,0.486059,0.000000,0.486059,5.60e-06,0.0708,0.06
14,0,0.493429,0.000000,0.493429,5.00e-06,0.0562,0.05
15,0,0.493406,0.000000,0.493406,4.40e-06,0.0475,0.08
16,0,0.477199,0.000000,0.477199,3.80e-06,0.1075,0.06
17,0,0.484199,0.000000,0.484199,3.23e-06,0.0982,0.19
18,0,0.491432,0.000000,0.491432,2.68e-06,0.0929,0.06
19,0,0.492456,0.000000,0.492456,2.16e-06,0.0680,0.19
20,0,0.486502,0.000000,0.486502,1.68e-06,0.0621,0.07
21,0,0.495802,0.000000,0.495802,1.26e-06,0.0579,0.09
22,0,0.485065,0.000000,0.485065,8.85e-07,0.0597,0.05
23,0,0.479112,0.000000,0.479112,5.73e-07,0.0969,0.07
24,0,0.483401,0.000000,0.483401,3.25e-07,0.0596,0.06
25,0,0.484820,0.000000,0.484820,1.45e-07,0.0471,0.18
26,0,0.493071,0.000000,0.493071,1.00e-07,0.0579,0.07
27,0,0.482524,0.000000,0.482524,1.00e-07,0.0637,0.08
