step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput
0,0,0.483990,0.000000,0.483990,5.00e-06,1.7657,0.07
1,0,0.496878,0.000000,0.496878,1.00e-05,2.2633,0.10
2,0,0.496221,0.000102,0.496323,9.96e-06,0.8404,0.06
3,0,0.493105,0.000581,0.493686,9.85e-06,1.1552,0.18
4,0,0.486686,0.001111,0.487797,9.68e-06,0.2289,0.06
5,0,0.488381,0.001495,0.489876,9.43e-06,0.2877,0.16
6,0,0.490773,0.001719,0.492492,9.11e-06,0.1837,0.06
7,0,0.482866,0.001831,0.484697,8.74e-06,0.1337,0.16
8,0,0.488071,0.001882,0.489953,8.32e-06,0.1534,0.06
9,0,0.487995,0.001910,0.489905,7.84e-06,0.1881,0.16
10,0,0.491348,0.001930,0.493277,7.32e-06,0.1216,0.07
11,0,0.496451,0.001924,0.498375,6.77e-06,0.0630,0.18
12,0,0.491361,0.001901,0.493262,6.20e-06,0.0704,0.06
13,0,0.487132,0.001861,0.488994,5.60e-06,0.0629,0.17
14,0,0.489766,0.001810,0.491576,5.00e-06,0.1018,0.08
15,0,0.497270,0.001756,0.499026,4.40e-06,0.1373,0.10
16,0,0.484555,0.001709,0.486264,3.80e-06,0.0835,0.07
17,0,0.483559,0.001663,0.485223,3.23e-06,0.0621,0.15
18,0,0.490387,0.001618,0.492005,2.68e-06,0.0813,0.07
19,0,0.486844,0.001578,0.488422,2.16e-06,0.0598,0.09
20,0,0.481050,0.001539,0.482589,1.68e-06,0.0568,0.04
21,0,0.486251,0.001504,0.487755,1.26e-06,0.0571,0.07
22,0,0.488265,0.001474,0.489739,8.85e-07,0.0813,0.06
23,0,0.492039,0.001450,0.493489,5.73e-07,0.0717,0.19
24,0,0.480008,0.001431,0.481439,3.25e-07,0.0802,0.06
25,0,0.480699,0.001418,0.482117,1.45e-07,0.0640,0.14
26,0,0.487251,0.001410,0.488661,1.00e-07,0.0597,0.07
27,0,0.484702,0.001406,0.486108,1.00e-07,0.1010,0.09
