2026-04-04 18:38:54,575 INFO    MainThread:1585595 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-04-04 18:38:54,576 INFO    MainThread:1585595 [wandb_setup.py:_flush():81] Configure stats pid to 1585595
2026-04-04 18:38:54,576 INFO    MainThread:1585595 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-04-04 18:38:54,576 INFO    MainThread:1585595 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /workspace/factorjepa/wandb/run-20260404_183854-ibjckmup/logs/debug.log
2026-04-04 18:38:54,576 INFO    MainThread:1585595 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /workspace/factorjepa/wandb/run-20260404_183854-ibjckmup/logs/debug-internal.log
2026-04-04 18:38:54,576 INFO    MainThread:1585595 [wandb_init.py:init():844] calling init triggers
2026-04-04 18:38:54,576 INFO    MainThread:1585595 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'start_from': 0, 'process_count': 10000, '_wandb': {}}
2026-04-04 18:38:54,576 INFO    MainThread:1585595 [wandb_init.py:init():892] starting backend
2026-04-04 18:38:55,046 INFO    MainThread:1585595 [wandb_init.py:init():895] sending inform_init request
2026-04-04 18:38:55,054 INFO    MainThread:1585595 [wandb_init.py:init():903] backend started and connected
2026-04-04 18:38:55,054 INFO    MainThread:1585595 [wandb_init.py:init():973] updated telemetry
2026-04-04 18:38:55,057 INFO    MainThread:1585595 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-04-04 18:38:55,935 INFO    MainThread:1585595 [wandb_init.py:init():1042] starting run threads in backend
2026-04-04 18:38:56,082 INFO    MainThread:1585595 [wandb_run.py:_console_start():2524] atexit reg
2026-04-04 18:38:56,082 INFO    MainThread:1585595 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-04-04 18:38:56,082 INFO    MainThread:1585595 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-04-04 18:38:56,082 INFO    MainThread:1585595 [wandb_run.py:_redirect():2465] Redirects installed.
2026-04-04 18:38:56,085 INFO    MainThread:1585595 [wandb_init.py:init():1082] run started, returning control to user process
